district,amount_rs_cr,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_rejected_no,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_no_of_applications_submitted_to_bank_a
Alipurduar,0.09,63.0,3.0,107.0,66.0,1.0,174.0
Bankura,15.13,567.0,37.0,496.0,604.0,68.0,1168.0
Birbhum,12.3,376.0,50.0,288.0,426.0,43.0,757.0
Cooch Behar,2.03,138.0,20.0,346.0,158.0,9.0,513.0
Dakshin Dinajpur,1.9,80.0,2.0,126.0,82.0,10.0,218.0
Darjeeling,0.01,30.0,5.0,115.0,35.0,1.0,151.0
Hooghly,24.6,727.0,36.0,218.0,763.0,21.0,1002.0
Howrah,10.22,97.0,6.0,70.0,103.0,11.0,184.0
Jalpaiguri,24.16,79.0,7.0,134.0,86.0,21.0,241.0
Jhargram,1.92,115.0,13.0,123.0,128.0,8.0,259.0
Kalimpong,0.0,12.0,0.0,16.0,12.0,0.0,28.0
Kolkata,5.0,5.0,0.0,7.0,5.0,2.0,14.0
Malda,7.01,173.0,20.0,414.0,193.0,22.0,629.0
Murshidabad,8.0,242.0,51.0,972.0,293.0,28.0,1293.0
Nadia,5.35,62.0,10.0,207.0,72.0,7.0,286.0
North 24 Parganas,7.87,130.0,21.0,431.0,151.0,15.0,597.0
Paschim Bardhaman,6.46,251.0,14.0,24.0,265.0,7.0,296.0
Paschim Medinipur,13.18,641.0,66.0,300.0,707.0,39.0,1046.0
Purba Bardhaman,21.13,1224.0,52.0,413.0,1276.0,67.0,1756.0
Purba Medinipur,26.1,195.0,16.0,367.0,211.0,36.0,614.0
Purulia,0.21,60.0,7.0,138.0,67.0,3.0,208.0
South 24 Parganas,6.63,153.0,23.0,205.0,176.0,8.0,389.0
Uttar Dinajpur,19.23,107.0,14.0,202.0,121.0,28.0,351.0
