district,31_03_2023,31_03_2024,31_03_2025
Alipurduar,48834.0,59976.0,71535.0
Bankura,130915.0,179499.0,227780.0
Birbhum,188288.0,231682.0,272667.0
Cooch Behar,149868.0,184833.0,221164.0
Dakshin Dinajpur,72246.0,95059.0,115740.0
Hooghly,235879.0,297183.0,361389.0
Howrah,186445.0,227583.0,264565.0
Jalpaiguri,142300.0,178125.0,210807.0
Kolkata,173616.0,201304.0,231733.0
Malda,220904.0,275257.0,330689.0
Murshidabad,369928.0,466780.0,557410.0
Nadia,221897.0,278356.0,340086.0
North 24 Parganas,350799.0,431310.0,517805.0
Paschim Medinipur,245250.0,306302.0,368226.0
Purba Bardhaman,284981.0,359146.0,430480.0
Purba Medinipur,285537.0,351421.0,420110.0
Purulia,100117.0,133570.0,164867.0
South 24 Parganas,279780.0,357477.0,442484.0
Uttar Dinajpur,126833.0,159353.0,190992.0
