district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,897.74,2017.0,1322.0,23.86,423.0,3762.0
Bankura,1647.25,3405.0,2463.0,25.57,575.0,6443.0
Birbhum,2169.03,3823.0,4437.0,21.72,1725.0,9985.0
Cooch Behar,1942.8,5143.0,2630.0,22.59,828.0,8601.0
Dakshin Dinajpur,1040.86,1736.0,1394.0,29.07,451.0,3581.0
Darjeeling,4704.11,2501.0,7602.0,43.03,829.0,10932.0
Hooghly,4264.85,8555.0,7212.0,24.35,1751.0,17518.0
Howrah,5786.75,2514.0,11336.0,35.13,2624.0,16474.0
Jalpaiguri,2365.29,3388.0,4203.0,27.91,884.0,8475.0
Jhargram,398.73,1059.0,631.0,20.65,241.0,1931.0
Kalimpong,132.86,484.0,329.0,14.3,116.0,929.0
Kolkata,57711.78,13684.0,96729.0,48.42,8781.0,119194.0
Malda,2265.28,3464.0,4096.0,26.09,1124.0,8684.0
Murshidabad,3149.97,5431.0,6635.0,22.43,1977.0,14043.0
Nadia,2259.57,5508.0,4730.0,18.85,1752.0,11990.0
North 24 Parganas,8560.69,6242.0,17320.0,31.53,3593.0,27155.0
Paschim Bardhaman,4567.1,1848.0,10021.0,34.8,1254.0,13123.0
Paschim Medinipur,2803.94,7296.0,6173.0,19.18,1150.0,14619.0
Purba Bardhaman,4331.44,9330.0,4801.0,28.01,1333.0,15464.0
Purba Medinipur,3875.99,8482.0,7177.0,22.27,1742.0,17401.0
Purulia,947.29,1321.0,2145.0,24.48,403.0,3869.0
South 24 Parganas,3499.9,6578.0,6532.0,23.32,1897.0,15007.0
Uttar Dinajpur,2326.64,3033.0,2572.0,35.63,925.0,6530.0
