district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,795458.0,74924.0,225815.0,494719.0,825396.0
Bankura,2222661.0,236678.0,530261.0,1455722.0,2415732.0
Birbhum,2652615.0,282630.0,754157.0,1615828.0,2471949.0
Cooch Behar,1865026.0,230234.0,475541.0,1159251.0,1769591.0
Dakshin Dinajpur,1146581.0,120751.0,305375.0,720455.0,1284049.0
Darjeeling,1342587.0,122479.0,396719.0,823389.0,654597.0
Hooghly,3116057.0,376076.0,774619.0,1965362.0,2569373.0
Howrah,2425142.0,273641.0,595784.0,1555717.0,2195568.0
Jalpaiguri,1857174.0,219103.0,508081.0,1129990.0,1452739.0
Jhargram,571897.0,49521.0,144340.0,378036.0,500380.0
Kalimpong,86413.0,7393.0,25969.0,53051.0,56800.0
Kolkata,2897010.0,241005.0,610473.0,2045532.0,1015989.0
Malda,2685657.0,343019.0,696579.0,1646059.0,3626952.0
Murshidabad,4710914.0,576387.0,1182459.0,2952068.0,4991235.0
Nadia,3094674.0,352133.0,748311.0,1994230.0,3331475.0
North 24 Parganas,4988793.0,535428.0,1200599.0,3252766.0,4799321.0
Paschim Bardhaman,1908613.0,82485.0,495990.0,1330138.0,1548068.0
Paschim Medinipur,2689644.0,331421.0,635283.0,1722940.0,2791469.0
Purba Bardhaman,2395160.0,362995.0,683624.0,1348541.0,2407269.0
Purba Medinipur,2901682.0,433630.0,669995.0,1798057.0,2713795.0
Purulia,1593914.0,171940.0,399818.0,1022156.0,2170745.0
South 24 Parganas,4343044.0,459427.0,998539.0,2885078.0,5440430.0
Uttar Dinajpur,1738191.0,198312.0,449014.0,1090865.0,2885622.0
