district,31_03_2024,31_03_2025,district_wise_enrolment_under_pmjjby_31_03_2023,district_wise_enrolment_under_pmsby_31_03_2023
Alipurduar,401271.0,481633.0,125944.0,312684.0
Bankura,1169984.0,1426711.0,271374.0,904236.0
Birbhum,1383097.0,1586394.0,471093.0,1063257.0
Cooch Behar,923746.0,1130793.0,268486.0,694385.0
Dakshin Dinajpur,585891.0,704520.0,164508.0,454991.0
Hooghly,1621794.0,1916759.0,459282.0,1227327.0
Howrah,1294970.0,1521244.0,370637.0,977661.0
Jalpaiguri,928479.0,1104790.0,302185.0,709929.0
Kolkata,1744580.0,2007677.0,433650.0,1418927.0
Malda,1338369.0,1603485.0,392983.0,1056316.0
Murshidabad,2437045.0,2896523.0,663839.0,1942267.0
Nadia,1626913.0,1950489.0,388455.0,1312729.0
North 24 Parganas,2699258.0,3179115.0,699459.0,2178226.0
Paschim Medinipur,1732932.0,2050348.0,463191.0,1435593.0
Purba Bardhaman,2065731.0,2620196.0,686259.0,1541792.0
Purba Medinipur,1447789.0,1754492.0,376680.0,1187485.0
Purulia,828617.0,995494.0,221913.0,545598.0
South 24 Parganas,2195664.0,2819062.0,550920.0,1440619.0
Uttar Dinajpur,852988.0,1065452.0,244767.0,650491.0
