district,1_year_above_no,6_month_to_below1_year_no,above_60_days_to_below_6_months_no,amt,below_60_days_no,total_pending_no
Alipurduar,2.0,12.0,2.0,42.24,0.0,16.0
Bankura,21.0,11.0,13.0,15.92,7.0,52.0
Birbhum,70.0,19.0,13.0,27.21,15.0,117.0
Cooch Behar,28.0,31.0,11.0,13.73,6.0,76.0
Dakshin Dinajpur,33.0,37.0,4.0,23.81,3.0,77.0
Darjeeling,39.0,20.0,24.0,69.84,6.0,89.0
Hooghly,121.0,66.0,22.0,78.29,23.0,232.0
Howrah,127.0,91.0,32.0,135.07,47.0,297.0
Jalpaiguri,19.0,15.0,7.0,25.09,7.0,48.0
Jhargram,3.0,3.0,3.0,1.27,2.0,11.0
Kalimpong,11.0,0.0,39.0,7.31,4.0,54.0
Kolkata,130.0,120.0,26.0,181.3,57.0,333.0
Malda,46.0,13.0,21.0,37.6,3.0,83.0
Murshidabad,57.0,25.0,11.0,35.19,12.0,105.0
Nadia,65.0,53.0,19.0,36.3,27.0,164.0
Paschim Bardhaman,54.0,66.0,38.0,116.54,12.0,170.0
Paschim Medinipur,64.0,30.0,37.0,44.46,1.0,132.0
Purba Bardhaman,90.0,64.0,41.0,157.99,9.0,204.0
Purba Medinipur,65.0,18.0,21.0,49.59,6.0,110.0
Purulia,11.0,24.0,12.0,9.91,2.0,49.0
Uttar Dinajpur,46.0,10.0,7.0,14.8,1.0,64.0
