District,Savings Linked No.,Savings Linked Amt,Credit Linked No.,Credit Linked Amt,Savings Linked No. (CY),CY Savings Linked Amt,Credit Linked No. (CY),CY Credit Linked Amt
East Garo Hills,414,43.43,9,7.4,419,43.74,12,9.64
East Jaintia Hills,299,8.59,73,38.86,480,11.36,79,44.86
East Khasi Hills,572,72.58,50,123.98,655,74.52,62,162.17
North Garo Hills,686,54.41,0,0,699,55.32,1,0.07
Ri Bhoi,665,38.22,80,221.8,857,41.4,151,349.37
South Garo Hills,580,55.63,16,11.72,651,63.74,18,18.72
South West Garo Hills,506,26.77,102,127,588,27.85,107,132
South West Khasi Hills,410,13.07,37,71.2,431,13.61,43,80.4
West Garo Hills,1162,113.78,103,107.5,1242,114.64,126,133.3
West Jaintia Hills,432,20.09,116,165.8,555,21.44,170,245.62
West Khasi Hills,555,37.24,149,206.2,737,40.11,171,237.2
