District,Disb No.,Disb Amt,Outstanding No.,Outstanding Amt
East Garo Hills,11,19.25,20,32.29
East Jaintia Hills,40,13.75,421,83.2
East Khasi Hills,391,232.4,3574,1869.47
North Garo Hills,0,0,90,116.8
Ri Bhoi,214,104.49,2791,841.3
South Garo Hills,0,0,25,10.04
South West Garo Hills,12,18.46,151,76.98
South West Khasi Hills,0,0,9,4.55
West Garo Hills,306,193.05,1816,568.8
West Jaintia Hills,0,0,974,176.29
West Khasi Hills,272,96.6,1166,358.54
