District,Other NPS Amt,Other NPS A/C,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Education Amt (NPS),Education A/C (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,214.02,115,217.72,62,46.31,12,0,0,0,0
East Jaintia Hills,506.39,266,149.44,54,0,0,0,0,0,0
East Khasi Hills,70326.46,4323,5209.02,1369,1567.35,216,55.06,18,0,0
North Garo Hills,11.54,15,108.56,37,2.35,8,0,0,0.12,2
Ri Bhoi,862.33,366,458.12,153,749.62,210,0,0,0.8,1
South Garo Hills,10.88,10,39.62,14,0.39,1,0,0,0,0
South West Garo Hills,29.54,20,53.51,30,27.78,6,0,0,0.97,1
South West Khasi Hills,28.34,39,117.71,40,0,0,0,0,0,0
West Garo Hills,1011.87,573,664.11,227,308.51,68,0,0,14.4,4
West Jaintia Hills,1115.28,260,592.66,154,63.54,10,0,0,0,0
West Khasi Hills,177.69,115,695.31,161,29.68,7,0,0,0,0
