District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,17.33,1,0,0,0,0,67.9,7,119.75,5,727.26,117
East Jaintia Hills,8.5,2,0,0,8.5,2,960.2,56,582.99,8,357.12,47
East Khasi Hills,3257.16,186,159.58,13,412.96,30,5557.21,442,20781.15,1027,33471.6,10872
North Garo Hills,0,0,0,0,0,0,479.86,56,40.13,2,1019.69,180
Ri Bhoi,1242.82,72,93.02,12,335.43,18,17219.72,1008,9386.07,311,9576.56,887
South Garo Hills,0,0,0,0,0,0,324.7,23,51.35,2,471.87,77
South West Garo Hills,0,0,0,0,0,0,343.21,31,102.14,3,389.87,54
South West Khasi Hills,0,0,0,0,0,0,106.97,25,0,0,131.32,35
West Garo Hills,261.41,27,0,0,0,0,1336.99,188,1721.16,72,6133.7,799
West Jaintia Hills,129.74,12,10.02,1,55.05,8,395.27,46,453.14,57,3475.7,2912
West Khasi Hills,389.12,42,26.15,3,143.84,23,582.85,94,279.11,10,1692.49,249
