District,Small & Marginal Farmers No.,Small & Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI Scheme No.,DRI Scheme Amt,Self Help Groups No.
East Garo Hills,3800,1769.97,2,0.84,580,638.03,2,10.99,100
East Jaintia Hills,340,232.08,9,10.02,1919,5099.83,10,1.64,204
East Khasi Hills,23107,10712.16,1898,2152.79,42388,65247.67,3387,191.18,216
North Garo Hills,3529,1951.4,19,38.48,676,651.82,5,0.08,2
South Garo Hills,552,226.17,39,31.55,386,435.73,0,0,82
South West Garo Hills,4326,2050.44,55,44.8,1495,1215.29,0,0,343
South West Khasi Hills,2015,1016.96,8,3.99,2239,2175.67,0,0,271
West Garo Hills,7110,3482.27,95,125.31,5447,8510.79,2,0.15,639
West Jaintia Hills,4277,2389.14,37,240.55,7473,15696.91,37,11.84,527
West Khasi Hills,9320,5041.4,3,14.62,8902,10968.92,12,2.05,677
