district,no_of_general_camps_conducted_during_the_quarter,no_of_participants,no_of_rural_branches_in_district,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed,total_no_of_camps,total_no_of_participants
Alipurduar,18.0,582.0,73.0,16.0,124.0,34.0,1031.0
Bankura,7.0,393.0,231.0,7.0,124.0,14.0,791.0
Birbhum,4.0,94.0,210.0,4.0,1246.0,8.0,180.0
Cooch Behar,4.0,142.0,142.0,5.0,123.0,9.0,221.0
Dakshin Dinajpur,57.0,111.0,79.0,3.0,12346.0,60.0,1233.0
Darjeeling,3.0,69.0,76.0,3.0,136.0,6.0,138.0
Hooghly,10.0,327.0,16.0,10.0,2356.0,20.0,554.0
Howrah,81.0,108.0,177.0,4.0,235.0,85.0,1989.0
Jalpaiguri,3.0,182.0,77.0,6.0,1356.0,9.0,232.0
Jhargram,3.0,175.0,54.0,9.0,1236.0,12.0,250.0
Kalimpong,3.0,44.0,14.0,2.0,1236.0,5.0,97.0
Malda,7.0,485.0,184.0,12.0,1246.0,19.0,812.0
Murshidabad,92.0,722.0,292.0,25.0,123456.0,117.0,2856.0
Nadia,9.0,182.0,201.0,9.0,1345.0,18.0,403.0
Paschim Bardhaman,73.0,745.0,374.0,22.0,146.0,95.0,2537.0
Paschim Medinipur,11.0,521.0,326.0,21.0,134.0,32.0,948.0
Purba Bardhaman,77.0,326.0,267.0,9.0,1456.0,86.0,2323.0
Purba Medinipur,79.0,387.0,299.0,18.0,12346.0,97.0,2294.0
Purulia,21.0,421.0,111.0,9.0,13456.0,30.0,1030.0
Uttar Dinajpur,15.0,775.0,96.0,24.0,14.0,39.0,1386.0
