district,no_of_clusters,no_of_employed,no_of_unit
Alipurduar,3.0,3471.0,395.0
Bankura,16.0,9256.0,2158.0
Birbhum,13.0,3940.0,892.0
Cooch Behar,8.0,1468.0,515.0
Dakshin Dinajpur,2.0,1010.0,250.0
Darjeeling,14.0,8459.0,965.0
Hooghly,14.0,21780.0,2094.0
Howrah,27.0,146100.0,10869.0
Jalpaiguri,3.0,2170.0,210.0
Jhargram,3.0,280.0,95.0
Kalimpong,7.0,7835.0,224.0
Kolkata,6.0,17554.0,1590.0
Malda,18.0,11741.0,1838.0
Murshidabad,21.0,15661.0,4405.0
Nadia,15.0,8545.0,2148.0
North 24 Parganas,22.0,37004.0,2797.0
Paschim Bardhaman,4.0,11158.0,268.0
Purba Bardhaman,4.0,20040.0,1585.0
Purulia,14.0,6072.0,689.0
South 24 Parganas,11.0,101656.0,23412.0
Uttar Dinajpur,17.0,9822.0,2327.0
