district,59_min_loan_sanctioned_in_camp_in_principal_approval,amount,amount_disbursed,amount_sanctioned,cgtsme_cover_no,mudra_pmmy_sanctioned_no,no_of_loans_sanctioned,pmjdy,pmjjby,pmsby,restructure_of_msme_no,target_no
Bankura,25.0,374.81,220.0,641.56,86.0,24942.0,21.0,6533.0,882.0,1533.0,,15000.0
Murshidabad,81.0,518.7,486.21,1411.2,72.0,145513.0,47.0,2420.0,3247.0,10472.0,,23000.0
Nadia,70.0,679.74,278.21,1182.71,100.0,106145.0,50.0,5558.0,853.0,2230.0,636.0,26000.0
