district,sep_g,sep_i,shg_credit_linkage
Bankura,13.0,100.0,2427.0
Birbhum,16.0,205.0,1737.0
Cooch Behar,5.0,125.0,871.0
Dakshin Dinajpur,5.0,90.0,1113.0
Darjeeling,5.0,130.0,1343.0
Hooghly,29.0,498.0,4128.0
Howrah,3.0,166.0,1087.0
Jalpaiguri,6.0,113.0,927.0
Jhargram,3.0,48.0,389.0
Kalimpong,0.0,5.0,0.0
Malda,3.0,50.0,370.0
Murshidabad,61.0,264.0,2813.0
Nadia,30.0,344.0,4262.0
North 24 Parganas,78.0,931.0,9604.0
Paschim Medinipur,21.0,283.0,2936.0
Purba Medinipur,14.0,222.0,2582.0
Purulia,2.0,27.0,785.0
South 24 Parganas,19.0,243.0,2100.0
Uttar Dinajpur,8.0,100.0,820.0
