district,disbursement,no_of_cases,pending_with_bank_for,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_released,total_project_cost_involved_in_sanctioned_cases
Alipurduar,138.0,1572.0,230.0,581.97,368.0,1865.27
Bankura,479.0,3538.0,433.0,888.71,912.0,2979.99
Birbhum,1242.0,3751.0,209.0,1253.03,1451.0,4143.33
Cooch Behar,504.0,4255.0,548.0,1000.93,1052.0,3374.84
Dakshin Dinajpur,132.0,1215.0,289.0,450.29,421.0,1436.01
Darjeeling,80.0,700.0,40.0,300.47,120.0,1016.6
Hooghly,1606.0,6801.0,80.0,2038.92,1692.0,6864.77
Howrah,844.0,2637.0,420.0,969.31,1264.0,3277.52
Jalpaiguri,940.0,4567.0,242.0,1608.29,1182.0,5529.66
Jhargram,113.0,3773.0,349.0,723.82,462.0,3434.8
Kalimpong,19.0,103.0,0.0,23.89,19.0,85.26
Kolkata,268.0,886.0,119.0,493.58,387.0,1731.23
Malda,1016.0,2943.0,89.0,1367.96,1105.0,4559.89
Murshidabad,895.0,4781.0,350.0,2263.78,1245.0,7624.42
Nadia,607.0,5403.0,214.0,1879.49,821.0,4600.28
Paschim Bardhaman,72.0,984.0,21.0,257.02,100.0,866.4
Paschim Medinipur,1377.0,7207.0,49.0,2221.3,1426.0,7203.18
Purba Bardhaman,404.0,6113.0,1650.0,2276.35,2054.0,8102.87
Purba Medinipur,492.0,2793.0,664.0,1270.15,1157.0,4300.95
Purulia,479.0,3272.0,251.0,612.78,730.0,2086.68
Uttar Dinajpur,688.0,2110.0,616.0,846.99,1304.0,2750.61
