district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_dyas,total_pending_as_on_31_12_2018
Alipurduar,6.0,0.0,0.0,0.0,6.0
Bankura,10.0,2.0,2.0,0.0,14.0
Birbhum,9.0,0.0,8.0,5.0,22.0
Cooch Behar,15.0,0.0,12.0,0.0,27.0
Dakshin Dinajpur,16.0,13.0,1.0,0.0,30.0
Darjeeling,7.0,1.0,5.0,1.0,14.0
Hooghly,75.0,15.0,17.0,24.0,131.0
Howrah,45.0,10.0,14.0,20.0,89.0
Jalpaiguri,8.0,11.0,4.0,2.0,25.0
Jhargram,0.0,5.0,0.0,0.0,5.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,25.0,4.0,1.0,2.0,32.0
Malda,44.0,14.0,5.0,2.0,65.0
Murshidabad,128.0,82.0,2.0,18.0,230.0
Nadia,54.0,19.0,10.0,0.0,83.0
North 24 Parganas,62.0,20.0,118.0,23.0,223.0
Paschim Bardhaman,16.0,11.0,10.0,3.0,40.0
Paschim Medinipur,24.0,6.0,9.0,1.0,40.0
Purba Bardhaman,21.0,11.0,17.0,6.0,55.0
Purba Medinipur,83.0,12.0,4.0,0.0,99.0
Purulia,4.0,0.0,0.0,0.0,4.0
South 24 Parganas,282.0,56.0,27.0,13.0,378.0
Uttar Dinajpur,22.0,9.0,2.0,0.0,33.0
