district,no_of_shg,sanction_amount_rs_in_lac
Alipurduar,6816.0,14320.09
Bankura,17460.0,36298.22
Birbhum,20489.0,46834.07
Cooch Behar,19497.0,43441.16
Dakshin Dinajpur,5491.0,12203.9
Darjeeling,837.0,1886.25
Hooghly,15705.0,40221.6
Howrah,12565.0,33396.25
Jalpaiguri,21072.0,48409.86
Jhargram,5351.0,11537.3
Kalimpong,379.0,832.95
Malda,24778.0,56257.5
Murshidabad,31710.0,66016.8
Nadia,21700.0,29782.15
North 24 Parganas,24117.0,53641.18
Paschim Bardhaman,2698.0,5457.63
Paschim Medinipur,22718.0,49903.78
Purba Bardhaman,15773.0,37452.0
Purba Medinipur,27260.0,65824.93
South 24 Parganas,27410.0,52531.33
Uttar Dinajpur,10152.0,18562.06
