district,cd_ratio_as_on_dec_2017,cd_ratio_dec_2018_amount_in_rs_crore
Alipurduar,41.0,4116.59
Bankura,40.0,9540.61
Birbhum,37.0,13924.06
Cooch Behar,65.0,6709.81
Dakshin Dinajpur,55.0,4006.51
Darjeeling,48.0,16979.01
Hooghly,23.0,37315.28
Howrah,38.0,33891.47
Jalpaiguri,43.0,9640.05
Jhargram,93.0,3111.2
Kalimpong,37.0,1070.74
Kolkata,89.0,315430.47
Malda,51.0,11318.7
Murshidabad,50.0,12239.98
Nadia,45.0,23829.18
Paschim Bardhaman,41.0,29660.52
Paschim Medinipur,40.0,19066.6
Purba Bardhaman,40.0,21052.87
Purba Medinipur,43.0,21177.05
Purulia,43.0,7442.51
Uttar Dinajpur,57.0,5314.82
