district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,53.97,261.0,1601.0,1877.0,66.27,4026.0,3478.0,6075.0,548.0
Birbhum,73.31,200.0,1025.0,2816.0,66.07,3847.0,3841.0,5823.0,6.0
Cooch Behar,46.52,107.0,991.0,862.0,71.97,1874.0,1853.0,2604.0,21.0
Darjeeling,54.8,78.0,673.0,816.0,76.31,1527.0,1489.0,2001.0,38.0
Hooghly,83.9,222.0,635.0,3309.0,68.65,3944.0,3944.0,5745.0,0.0
Howrah,23.63,567.0,8843.0,2736.0,85.42,12183.0,11579.0,14263.0,604.0
Jalpaiguri,83.26,227.0,606.0,3015.0,80.13,3717.0,3621.0,4639.0,96.0
Malda,55.64,182.0,1612.0,2022.0,76.45,4224.0,3634.0,5525.0,590.0
Murshidabad,50.48,260.0,2656.0,2708.0,70.72,5364.0,5364.0,7585.0,0.0
Nadia,39.43,169.0,1730.0,1126.0,66.81,2929.0,2856.0,4384.0,73.0
North 24 Parganas,58.54,224.0,1860.0,2626.0,77.66,4488.0,4486.0,5779.0,2.0
Purba Bardhaman,55.11,202.0,1520.0,1866.0,66.24,3386.0,3386.0,5112.0,0.0
Purba Medinipur,47.68,189.0,2108.0,1921.0,74.74,4072.0,4029.0,5448.0,43.0
Purulia,63.47,147.0,700.0,1216.0,51.27,1916.0,1916.0,3737.0,0.0
South 24 Parganas,82.99,263.0,749.0,3655.0,63.27,4444.0,4404.0,7024.0,40.0
Uttar Dinajpur,56.22,179.0,1369.0,1758.0,71.28,3196.0,3127.0,4484.0,69.0
