district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,172.34,601.0,172.45,52844.0,13.0,53458.0
Bankura,236.47,3094.0,252.35,49044.0,628.0,52766.0
Birbhum,493.34,8772.0,507.48,90501.0,696.0,99969.0
Cooch Behar,360.31,2706.0,364.12,88088.0,271.0,91065.0
Dakshin Dinajpur,199.44,1808.0,210.3,52548.0,251.0,54607.0
Howrah,746.03,8623.0,767.7,163984.0,931.0,173538.0
Jalpaiguri,469.48,4407.0,492.88,133749.0,608.0,138764.0
Kalimpong,2.53,0.0,2.53,667.0,0.0,667.0
Kolkata,1026.93,9425.0,1062.46,190909.0,3840.0,204174.0
Malda,428.8,4330.0,444.33,107062.0,504.0,111896.0
Murshidabad,895.03,7286.0,933.4,251919.0,672.0,259877.0
Nadia,715.15,5311.0,748.14,193560.0,888.0,199759.0
North 24 Parganas,1129.34,11539.0,1173.52,280671.0,1670.0,293880.0
Paschim Medinipur,523.41,7850.0,553.34,102858.0,1261.0,111969.0
Purba Bardhaman,1149.29,12615.0,1188.87,247206.0,2217.0,262038.0
Purba Medinipur,432.46,5628.0,449.19,85246.0,918.0,91792.0
South 24 Parganas,866.81,8580.0,898.11,227100.0,904.0,236584.0
Uttar Dinajpur,329.04,2827.0,340.37,76247.0,335.0,79409.0
