district,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti- cated SB accounts,RuPay card issued in KCC
East Garo Hills,3,19317,19159,2587,740
East Jaintia Hills,3,13698,8488,3578,24
East Khasi Hills,9,84370,58377,53071,4358
Eastern West Khasi Hills,0,8118,4535,454,999
North Garo Hills,2,36240,35875,1325,810
Ri Bhoi,6,28471,18944,5399,8265
South Garo Hills,1,11478,11327,144,68
South West Garo Hills,2,27506,27017,3598,616
South West Khasi Hills,1,9667,2321,95,338
West Garo Hills,20,92951,90106,19142,1250
West Jaintia Hills,2,17649,10713,4793,655
West Khasi Hills,1,10493,8411,1912,2561
