district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,No. Infra Social,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,746.2,145,0.73,3,0,0,20.66,7,621.39,96,103.42,39,0,0
East Khasi Hills,50369,20262,6613.82,14405,3.14,1,319.87,55,34246.7,3672,9185.47,2129,0,0
Ri Bhoi,11618.52,4146,951,2953,0,0,103.14,16,9794.22,901,770.16,276,0,0
West Garo Hills,8013.15,1566,785.02,379,0,0,65.21,20,6559.47,947,603.45,220,0,0
West Khasi Hills,1396.29,312,152.71,30,0,0,2.61,1,942.54,142,298.43,139,0,0
