district,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
East Garo Hills,232,82.16,248,276.12
East Jaintia Hills,0,0,45,8.15
East Khasi Hills,586,162.43,5829,1621.49
Eastern West Khasi Hills,178,58.22,111,108.97
North Garo Hills,0,0,88,93.99
Ri Bhoi,104,47.47,2044,565.84
South Garo Hills,0,0,22,8.29
South West Garo Hills,298,99.2,278,245.89
South West Khasi Hills,0,0,7,3.06
West Garo Hills,1586,571.4,1557,1458.72
West Jaintia Hills,294,78.16,159,104.34
West Khasi Hills,1,2,73,130.3
