district,(NPS) Total Amt. Disb ACP,Disb (NPS) ACP Total No.,NPS Others Amt.,A/C NPS Others,der Loans Amt. NPS un- Personal,der Loans A/C NPS un- Personal,Amt. (NPS) Housing,A/C ing (NPS) Hous-,Amt. (NPS) cation Edu-,A/C (NPS) cation Edu-,Amt. (NPS) Credit Exp,A/C Exp (NPS) Credit,Amt. (NPS) MSME,No. (NPS) MSME,Amt. (NPS) culture Agri-,No. (NPS) culture Agri-
East Garo Hills,2798.75,548,2379.13,449,357.02,92,61.94,6,0,0,0,0,0,0,0.66,1
East Jaintia Hills,2194.9,618,1488.22,511,365.71,101,0,0,0,0,0,0,0,0,340.97,6
East Khasi Hills,114645.57,10952,101700.01,8510,9110.96,2122,3683.8,283,145.89,33,0,0,0,0,4.91,4
North Garo Hills,1494.32,312,1296.22,227,158.14,81,38.9,3,0,0,0,0,0,0,1.06,1
Ri Bhoi,18579.43,2636,16453.78,2199,1054.28,324,1067.88,109,0,0,0,0,0,0,3.49,4
South Garo Hills,2027.01,278,1768.7,224,88.93,41,138.94,11,29.91,1,0,0,0,0,0.53,1
West Garo Hills,8150.59,1724,5853.01,1175,1473.92,469,818.98,74,0,0,0,0,0,0,4.68,6
West Khasi Hills,1257.69,286,931.22,193,323.47,92,3,1,0,0,0,0,0,0,0,0
