district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of dent girl No Disb stu- which,Disb. Number,girl of Amt which Sanctioned student,Amt tioned Sanc-,of dent girl tioned No Sanc- stu- which,No tioned Sanc-
East Garo Hills,26.7,101.15,14,39,4.66,16.24,2,4,0,0,0,0
East Jaintia Hills,75.32,152.26,27,49,0,4.49,0,2,0,1.61,0,1
East Khasi Hills,4355.16,11163.23,1196,2189,736.54,2315.9,146,413,408.87,1602.62,80,182
North Garo Hills,16.32,39.52,3,12,0,0,0,0,0,0,0,0
Ri Bhoi,554.08,879.28,196,278,10.02,47.57,6,17,4.6,6.98,2,5
South Garo Hills,8.79,23.89,3,7,0,5.97,0,2,0,0,0,0
South West Garo Hills,17.29,17.29,7,7,1.62,1.62,1,1,0,0,0,0
South West Khasi Hills,64.89,102.34,32,48,8.77,13.69,4,6,2.11,2.11,1,1
West Garo Hills,280.48,694.99,104,221,25.12,70.92,14,26,1.05,9.55,1,7
West Jaintia Hills,277.76,465.23,102,158,3.23,14.78,4,10,1.01,1.63,1,2
West Khasi Hills,222.4,312.34,100,142,0.57,5.72,1,3,0,0,0,0
