district,Tot Amt. Minority Loan to O/S,Tot No. Minority Loan to O/S,Amt. JAINS,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,No MUSLIMS,TIANS CHRIS- Amt,TIANS CHRIS- No.
East Garo Hills,718.46,465,2.06,1,3.68,1,2.08,1,0,0,197.91,66,512.73,396
East Jaintia Hills,5740.8,2952,14.91,1,0,0,2.5,2,5.86,1,378.34,118,5339.19,2830
East Khasi Hills,105628.48,46007,8255.6,14,0,0,1266.76,516,470.16,135,11276.99,2234,84358.97,43108
North Garo Hills,346.47,213,0,0,0,0,0,0,0,0,82.11,27,264.36,186
Ri Bhoi,21850.72,15730,52.36,6,2.27,1,1696.36,39,260.96,38,7831.11,1509,12007.66,14137
South Garo Hills,529.05,440,0,0,0,0,0,0,0,0,125.84,31,403.21,409
West Garo Hills,15020.45,8275,4.63,1,0,0,62.04,12,27.4,11,7428.51,3141,7497.87,5110
West Jaintia Hills,16724.89,8034,0,0,0,0,4.79,10,0.22,1,187.76,68,16532.12,7955
West Khasi Hills,7478.93,5305,0,0,0,0,16.56,6,1,2,31.27,19,7430.1,5278
