district,Tot Disb Amt. Minority,Disb Tot No. Minority,Amt. JAINS,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,LIMS MUS- No,Amt CHRISTIANS,No. TIANS CHRIS-
East Garo Hills,79.19,51,0,0,0,0,0,0,0,0,40.75,32,38.44,19
East Jaintia Hills,494.36,342,0,0,0,0,0,0,0,1,65.47,74,428.89,267
East Khasi Hills,12670.95,4446,23.07,8,0,0,192.56,180,43.43,60,1365.16,609,11046.73,3589
North Garo Hills,23.47,30,0,0,0,0,0,0,0,0,17.54,27,5.93,3
Ri Bhoi,3703.34,2074,0,5,0,0,1562.59,26,24.02,32,1203,1206,913.73,805
South Garo Hills,65.99,32,0,0,0,0,0,0,0,0,55.42,20,10.57,12
West Garo Hills,2023.54,3087,0,0,0,0,1.49,12,0.99,11,1028.29,2793,992.77,271
West Jaintia Hills,1238.2,579,0,0,0,0,0,4,0,1,15.8,21,1222.4,553
West Khasi Hills,543.27,527,0,0,0,0,0,1,0,1,0,6,543.27,519
