district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Term No Loan,Crop Amt,Crop No
East Garo Hills,1210.46,3367,0,0,367.08,1365,17.26,40,826.12,1962
East Jaintia Hills,206.97,522,27.5,21,110.17,413,28.94,44,40.36,44
East Khasi Hills,13134.61,6326,9442.95,124,1061.67,814,205.63,388,2424.36,5000
North Garo Hills,1867.34,4687,19.82,12,471.66,1709,0.17,1,1375.69,2965
Ri Bhoi,8665.71,16265,126.68,120,410.41,1798,152.48,658,7976.14,13689
South Garo Hills,557.01,2290,0,0,237.28,1291,19.71,45,300.02,954
South West Garo Hills,2383.94,5179,0,0,1079.34,1912,17.82,43,1286.78,3224
South West Khasi Hills,205.11,539,0,0,24.37,119,11.88,14,168.86,406
West Garo Hills,2879.29,8238,0,0,577.08,2782,118.28,326,2183.93,5130
West Jaintia Hills,1166.34,2136,127,85,125.44,348,82.44,76,831.46,1627
West Khasi Hills,1952.96,3524,0,0,77.45,455,37.3,65,1838.21,3004
