district,NULM AMT NPA,NO NULM NPA,O/S NULM Amt.,O/S No. NULM,NRLM NPA AMT,NRLM NPA NO,A/C NRLM Amt Irregular,ular NRLM A/C No Irreg-,NRLM O/S Amt.,NRLM O/S No.
East Garo Hills,0,0,0,0,22.5,64,5.88,22,235.93,404
East Jaintia Hills,0,0,0,0,1.01,1,1.01,1,454.22,497
East Khasi Hills,10.7,28,15.82,38,11.4,10,12.03,11,851.92,1016
Eastern West Khasi Hills,0,0,0,0,10.3,13,12.85,12,969.97,788
North Garo Hills,0,0,0,0,35.28,107,0.05,6,169.09,344
Ri Bhoi,6.42,4,0,0,61.76,65,59.98,59,1061.35,1193
South Garo Hills,0,0,4.14,4,4.5,29,17.92,40,207.51,268
South West Garo Hills,0,0,0,0,14.53,23,14.15,23,357.56,414
South West Khasi Hills,0,0,0,0,0.1,1,0.13,3,487.13,381
West Garo Hills,14.78,29,58.73,82,49.29,110,30.68,48,1048.92,1297
West Jaintia Hills,6.61,4,9.95,6,30.43,30,27.84,26,966.82,1046
West Khasi Hills,0,0,0,0,4.83,9,4.83,9,678.63,647
