district,Amt. NPA SHG %,SHG Amt. NPA,NPA SHG No.,SHG Amt. O/S,O/S SHG No.,FY Amount Linked Credit Current,FY Linked No Credit Current,Savings Current Amount FY Linked,rent No Cur- Linked Savings FY,Linked Quarter During the Amount Credit,it Quarter During Linked No Cred- the,Linked Quarter During the Amount Savings,ings No Quarter During Linked Sav- the
East Garo Hills,10.78,10.18,21,94.45,127,18.98,21,99.01,1701,7.5,9,99.01,1701
East Khasi Hills,2.72,24.49,34,899.02,1037,254.18,261,152.8,3222,237.18,250,152.76,3219
Ri Bhoi,8.25,96.18,106,1165.76,1288,94.15,60,54.55,532,71.5,48,45.6,500
West Garo Hills,7,60.39,148,862.57,1150,198.34,187,183.32,2783,155.82,129,183.32,2783
West Khasi Hills,2.63,17.5,39,665.91,673,78,61,3.2,208,78,61,3.2,208
