district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Amt MSME Other,No MSME Other,KVIC Amt,No KVIC,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,326.45,689,9.4,4,11.51,11,0,0,1.46,1,304.08,673
East Jaintia Hills,1278.84,371,4.34,1,7.34,4,0,0,432.93,30,834.23,336
East Khasi Hills,11437.42,3277,4.59,3,172.23,53,2016.02,8,1934.74,189,7309.84,3024
North Garo Hills,338.96,413,1.99,1,0,0,0,0,0,0,336.97,412
Ri Bhoi,1468.78,1166,45.36,22,42.86,31,0,0,158.46,33,1222.1,1080
South Garo Hills,288.13,263,0,0,8.4,7,0,0,0,0,279.73,256
West Garo Hills,1818.16,1959,24.97,10,22.98,11,76.77,6,246.3,159,1447.14,1773
West Jaintia Hills,2212.39,821,6.91,13,11.01,10,0,0,818.5,115,1375.97,683
West Khasi Hills,669.42,396,2.48,1,8.33,12,0,0,31.1,4,627.51,379
