district,shgs_credit_linkage_target_fy_2024_25_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30092024_total_shgs_repeat_renewals_enhancement_fy_2022_23,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9860,18050,25140,7947,12614,28031
Chatra,7300,13360,18610,7597,8464,20872
Deoghar,6280,11490,16000,4315,5694,14406
Dhanbad,7080,12950,18040,5772,9064,18781
Dumka,8090,14810,20620,5638,7765,19735
Garhwa,8200,15020,20910,5250,7087,19492
Giridih,12470,22830,31800,9461,13830,35047
Godda,6450,11800,16430,6639,7856,18538
Gumla,6290,11510,16030,3586,5467,15001
Hazaribagh,11160,20420,28440,10659,16008,34031
Jamtara,3980,7280,10140,3362,3723,9017
Khunti,3870,7080,9860,2966,4210,11603
Koderma,5000,9160,12750,5029,7272,17474
Latehar,5420,9920,13820,4463,5570,16891
Lohardaga,3460,6340,8830,2478,3946,9934
Pakur,5920,10840,15100,5894,5925,17837
Palamu,12390,22680,31590,8533,9189,30004
Ramgarh,5700,10440,14540,4979,6985,16843
Ranchi,14860,27210,37890,11328,14373,44190
Sahibganj,5880,10760,14980,6219,5721,15247
Simdega,4330,7900,11030,3217,3948,11002
West Singhbhum,9230,16890,23520,5938,7157,28940
