district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,19928,10302,68,578,225,637,12113,35414,4025,755,36359,47686.57,
Chatra,22108,11303,12,68,62,114,2850,5550,404,107,25436,17143.36,
Deoghar,23832,10419,46,96,117,293,5526,7553,829,177,30350,18536.29,
Dhanbad,23277,13142,242,1286,396,1010,13636,28923,5763,914,43314,45274.74,
Dumka,18367,7676,11,52,40,100,4624,6248,1105,195,24147,14271.01,
East Singhbhum,25003,14194,264,1906,468,1112,15828,51307,2406,589,43969,69107.90,
Garhwa,15072,8660,8,56,45,121,2289,2134,1438,486,18852,11456.47,
Giridih,32683,16277,27,60,205,521,8634,12439,1881,369,43430,29666.20,
Godda,17281,9643,7,49,41,125,3532,4130,506,143,21367,14089.89,
Gumla,26469,11453,25,118,73,138,2767,3990,177,33,29511,15732.12,
Hazaribagh,32065,21321,118,670,222,623,8526,18301,1593,307,42524,41222.34,
Jamtara,9902,3768,6,26,22,58,1867,1845,52,6,11849,5703.18,
Khunti,9648,4462,5,29,27,62,1596,2092,139,32,11415,6676.88,
Koderma,15445,8510,61,353,72,142,3928,8921,1410,168,20916,18095.23,
Latehar,6214,3326,10,80,26,80,1056,1274,611,138,7917,4897.98,
Lohardaga,16343,8740,12,81,54,166,2043,3439,72,20,18524,12446.08,
Pakur,10191,5697,6,30,19,40,2041,2143,395,70,12652,7980.50,
Palamu,24362,14171,22,109,136,433,5266,6993,2023,761,31809,22467.56,
Ramgarh,10542,5327,37,129,85,256,6101,13994,1990,385,18755,20090.93,
Ranchi,37528,28886,222,2001,825,2353,20637,107868,2424,787,61636,141894.60,
Sahibganj,12620,8244,10,59,70,158,3289,3259,822,224,16811,11942.87,
Seraikela-Kharsawan,19186,10469,36,99,91,261,5033,9371,655,131,25001,20331.44,
Simdega,10447,4674,5,21,35,100,1694,2209,83,37,12264,7039.80,
West Singhbhum,22863,12812,42,327,140,349,5322,9886,769,199,29136,23573.16,
