district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2421576,1883229,77.77,1662787,68.67,
Chatra,1143280,958569,83.84,728824,63.75,
Deoghar,1958240,1526582,77.96,1146728,58.56,
Dhanbad,3206142,2507366,78.21,2237140,69.78,
Dumka,1407294,983928,69.92,704151,50.04,
East Singhbhum,3282974,2439198,74.30,2151711,65.54,
Garhwa,1469695,1166841,79.39,751285,51.12,
Giridih,2787087,2315317,83.07,1928661,69.20,
Godda,1394698,1020045,73.14,769625,55.18,
Gumla,1038612,840441,80.92,767052,73.85,
Hazaribagh,2340013,1914247,81.80,1567517,66.99,
Jamtara,798747,627438,78.55,465378,58.26,
Khunti,587613,491017,83.56,422129,71.84,
Koderma,997357,838913,84.11,678625,68.04,
Latehar,883384,713114,80.73,466282,52.78,
Lohardaga,630137,536103,85.08,462617,73.42,
Pakur,1024400,822328,80.27,644357,62.90,
Palamu,2218262,1770052,79.79,1175629,53.00,
Ramgarh,1187695,919560,77.42,801301,67.47,
Ranchi,5049138,3848464,76.22,2761007,54.68,
Sahibganj,1302832,1051379,80.70,761635,58.46,
Seraikela-Kharsawan,1176692,951646,80.87,792146,67.32,
Simdega,653622,546946,83.68,500764,76.61,
West Singhbhum,1748031,1390108,79.52,1145350,65.52,
