district,branches_as_on_30092024_rural,semi_urban,urban,total,atms_as_on_30092024_rural,semi_urban,urban,total,as_on_30062024_branch,atms,difference_branch,atms
Bokaro,77,51,89,217,30,56,160,246,215,243,2,3
Chatra,44,22,0,66,12,21,0,33,65,40,1,-7
Deoghar,69,26,48,143,9,20,105,134,143,136,0,-2
Dhanbad,74,55,174,303,31,61,304,396,300,407,3,-11
Dumka,82,34,1,117,17,59,4,80,116,83,1,-3
East Singhbhum,81,71,194,346,22,79,420,521,345,520,1,1
Garhwa,64,34,0,98,10,51,1,62,97,63,1,-1
Giridih,130,9,38,177,39,18,71,128,174,126,3,2
Godda,73,30,0,103,16,45,1,62,101,67,2,-5
Gumla,52,28,3,83,6,37,3,46,80,50,3,-4
Hazaribagh,92,29,56,177,34,41,131,206,177,199,0,7
Jamtara,40,28,0,68,7,35,2,44,68,41,0,3
Khunti,30,22,0,52,10,21,10,41,51,60,1,-19
Koderma,31,32,0,63,6,49,0,55,64,52,-1,3
Latehar,26,28,0,54,10,31,0,41,54,43,0,-2
Lohardaga,24,22,0,46,3,28,1,32,46,35,0,-3
Pakur,38,23,0,61,8,24,0,32,60,37,1,-5
Palamu,82,54,0,136,11,95,1,107,135,103,1,4
Ramgarh,47,67,1,115,27,96,5,128,118,127,-3,1
Ranchi,146,43,313,502,64,47,629,740,499,737,3,3
Sahibganj,41,37,0,78,10,30,3,43,77,43,1,0
Seraikela-Kharsawan,82,20,24,126,25,21,30,76,123,92,3,-16
Simdega,31,21,0,52,4,16,4,24,52,20,0,4
West Singhbhum,73,63,0,136,22,67,12,101,134,104,2,-3
