district,female_general_a_cs,sanc_amt_in_lakhs,minority_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,210,4451,6,99,60,1468,17,357,293,6375,36,753,36,753,329,7129
Chatra,34,610,1,20,19,382,1,20,55,1032,4,122,4,122,59,1154
Deoghar,150,3338,0,0,32,598,10,139,192,4075,9,149,9,149,201,4225
Dhanbad,324,7374,10,166,65,1040,25,526,424,9106,39,845,39,845,463,9951
Dumka,48,915,1,56,19,422,6,179,74,1572,13,325,13,325,87,1897
Garhwa,20,339,0,0,11,156,5,75,36,570,7,141,7,141,43,711
Giridih,80,1634,3,64,47,869,7,106,137,2673,10,156,10,156,147,2829
Godda,57,1193,2,29,22,488,3,80,84,1790,11,230,11,230,95,2020
Gumla,18,314,0,0,12,196,4,98,34,608,8,149,8,149,42,757
Hazaribagh,143,2414,7,144,77,1407,8,124,235,4089,26,510,26,510,261,4599
Jamtara,27,865,0,0,6,67,1,24,34,956,1,25,1,25,35,981
Khunti,20,454,0,0,1,15,1,48,22,516,4,60,4,60,26,576
Koderma,42,604,0,0,19,278,1,25,62,908,17,300,17,300,79,1208
Latehar,39,665,0,0,25,462,5,56,69,1183,7,93,7,93,76,1276
Lohardaga,15,252,0,0,7,110,3,36,25,398,13,167,13,167,38,564
Pakur,22,631,1,15,3,93,2,80,28,819,3,82,3,82,31,901
Palamu,62,1325,1,45,35,577,7,104,105,2052,19,344,19,344,124,2395
Ramgarh,89,1509,0,0,25,460,6,68,120,2037,12,173,12,173,132,2210
Ranchi,671,15234,14,272,98,2117,60,1157,843,18781,114,2279,114,2279,957,21060
Sahibganj,24,546,1,10,13,203,2,58,40,816,3,35,3,35,43,851
Seraikela-Kharsawan,107,2083,0,0,10,166,4,60,121,2309,10,165,10,165,131,2474
Simdega,8,102,0,0,5,64,4,60,17,225,5,69,5,69,22,294
West Singhbhum,194,4901,1,11,23,422,19,364,237,5698,39,768,39,768,276,6466
