district,target_for_2024_25_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,98,268.52,247,892.47,61,165.68,88,266.11,15,8.22,60,235.86,134,554.76,88,266.11
Chatra,42,115.08,120,387.97,22,90.32,45,116.69,1,3.50,33,76.48,69,254.46,45,116.69
Deoghar,60,164.40,235,605.80,41,120.05,75,255.57,12,17.24,53,142.43,154,386.88,71,253.51
Dhanbad,97,265.78,336,810.37,119,185.58,132,214.27,23,17.72,98,255.57,140,407.22,127,208.81
Dumka,73,200.02,176,431.87,45,113.49,80,164.23,10,8.55,32,72.48,106,268.42,73,159.94
Garhwa,43,117.82,118,415.62,31,114.63,35,134.80,5,12.37,34,133.44,58,173.92,31,124.18
Giridih,70,191.80,336,956.81,79,241.87,87,222.06,14,20.32,93,241.64,177,511.76,84,216.72
Godda,70,191.80,192,467.35,50,94.44,69,138.53,13,17.01,23,56.67,127,330.17,66,135.04
Gumla,45,123.30,146,505.78,40,129.91,46,133.90,7,13.97,39,149.73,73,246.45,39,119.93
Hazaribagh,103,282.22,364,1182.83,72,230.76,118,342.03,15,16.74,116,341.51,187,682.89,114,336.69
Jamtara,42,115.08,136,345.64,18,34.28,47,124.72,4,4.81,53,139.24,68,173.68,46,123.61
Khunti,48,131.52,122,305.48,38,76.88,53,100.09,9,8.59,35,104.47,56,124.35,48,95.81
Koderma,48,131.52,147,342.33,22,73.21,30,62.12,4,4.40,43,102.14,87,183.96,29,60.21
Latehar,35,95.90,57,213.27,14,31.49,33,83.62,5,7.21,18,57.41,27,123.93,31,80.31
Lohardaga,44,120.56,144,430.21,46,127.61,50,137.47,9,18.59,47,131.64,61,196.65,43,121.35
Pakur,48,131.52,119,204.44,20,30.20,20,34.27,6,3.49,38,68.80,62,104.03,19,33.57
Palamu,57,156.18,132,417.10,19,67.86,34,61.20,6,5.95,55,132.11,63,232.35,31,59.10
Ramgarh,72,197.28,138,451.88,41,139.56,47,174.07,,,25,67.46,79,260.30,47,174.07
Ranchi,99,271.26,424,1448.78,107,356.76,161,412.91,11,30.73,144,421.84,188,711.90,158,409.47
Sahibganj,70,191.80,201,338.59,51,75.26,88,133.81,12,14.05,71,106.07,81,150.13,86,131.77
Simdega,42,115.08,90,305.00,25,80.74,21,57.38,5,20.07,17,75.90,52,159.79,18,49.81
