district,outstanding_30092024_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042024_to_30092024_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,15659,28340.33,10941,19064.11,3022,5781.34,1932,3588.04,
Chatra,13805,11768.81,6150,6945.60,2859,2214.68,1068,1276.15,
Deoghar,16698,16956.04,14145,13081.96,3801,4106.01,2463,2363.57,
Dhanbad,27001,65720.51,13674,20191.34,4206,14007.47,2261,3951.67,
Dumka,13903,13328.20,22921,30096.43,3475,3276.16,4950,6637.72,
East Singhbhum,20424,25271.95,47079,58924.58,3747,5695.75,12192,10659.35,
Garhwa,23681,18795.62,15776,15867.63,2461,3392.88,1532,2215.47,
Giridih,23942,18671.19,13228,11975.27,3364,3538.17,1873,2151.88,
Godda,11726,12527.69,17747,24117.45,2520,2913.69,4408,5256.72,
Gumla,6181,5996.94,28734,29261.11,1006,1182.43,5619,4694.46,
Hazaribagh,26550,25980.78,10848,16555.01,4463,5919.26,2221,3587.69,
Jamtara,7116,7299.10,12995,12671.24,1528,1483.04,2992,2259.79,
Khunti,6103,5546.26,21139,22350.93,1631,1307.69,6790,4342.58,
Koderma,9120,7857.70,2522,2957.92,1707,1444.50,319,504.63,
Latehar,7769,10510.97,11045,15175.70,2453,2462.26,2519,2858.61,
Lohardaga,3345,3877.69,16093,17881.42,804,717.27,4447,2769.80,
Pakur,5229,5766.56,15323,15841.68,1292,1287.31,5629,3234.11,
Palamu,38162,33394.23,23146,26109.79,3838,5546.05,2463,3635.64,
Ramgarh,11485,17474.21,12106,22684.29,2716,3826.09,2304,4251.23,
Ranchi,247069,108047.33,206538,181707.58,29404,23308.34,30487,33542.65,
Sahibganj,6573,7985.05,20555,20282.68,1685,2134.34,7459,3737.70,
Seraikela-Kharsawan,26311,13337.84,47622,33490.85,4294,2731.21,10088,5806.28,
Simdega,4332,3546.77,14917,14088.34,1012,645.35,3796,2100.53,
West Singhbhum,11626,14363.65,54602,61970.13,2428,2892.64,12924,10348.57,
