district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6597,1140,5457,5009,448,2962,2495,661,4796,1202,4255
Chatra,6516,1129,5387,4903,484,2203,3184,525,4862,712,4675
Deoghar,6913,998,5915,5532,383,2633,3282,468,5447,822,5093
Dhanbad,7685,1224,6461,5962,499,3933,2528,1011,5450,1532,4929
Dumka,4785,643,4142,3787,355,2632,1510,544,3598,911,3231
East Singhbhum,4854,815,4039,3625,414,2381,1658,625,3414,1154,2885
Garhwa,11429,2473,8956,8355,601,3963,4993,1008,7948,840,8116
Giridih,14307,2681,11626,10550,1076,7487,4139,968,10658,1625,10001
Godda,7715,1778,5937,5434,503,3405,2532,844,5093,725,5212
Gumla,3748,591,3157,2758,399,1796,1361,370,2787,617,2540
Hazaribagh,6981,1357,5624,4980,644,3385,2239,674,4950,1057,4567
Jamtara,2181,369,1812,1711,101,1004,808,153,1659,343,1469
Khunti,2014,336,1678,1424,254,916,762,260,1418,354,1324
Koderma,2995,522,2473,2229,244,1301,1172,246,2227,416,2057
Latehar,5118,958,4160,3866,294,1582,2578,472,3688,498,3662
Lohardaga,2761,347,2414,2176,238,963,1451,193,2221,285,2129
Pakur,3727,699,3028,2801,227,1763,1265,468,2560,613,2415
Palamu,11166,2106,9060,8239,821,5417,3643,1099,7961,1234,7826
Ramgarh,3625,560,3065,2684,381,2020,1045,406,2659,606,2459
Ranchi,8576,1387,7189,6414,775,4436,2753,900,6289,1550,5639
Sahibganj,5292,1326,3966,3636,330,2837,1129,706,3260,748,3218
Seraikela-Kharsawan,2965,581,2384,2165,219,1098,1286,259,2125,488,1896
Simdega,2474,388,2086,1833,253,1074,1012,311,1775,335,1751
West Singhbhum,4861,1050,3811,3331,480,2363,1448,814,2997,780,3031
