district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2024_25_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,83,43,367,1406,745,513,1267,3338,13451,30341,405,337,5045,6406,31572,21497,
Chatra,34,41,284,957,176,85,481,1229,9939,20619,445,318,2994,3408,14811,9976,
Deoghar,83,22,244,358,999,956,2211,4152,9706,16690,714,688,2657,3161,22346,11462,
Dhanbad,106,28,447,1986,910,512,2171,4896,10216,22062,374,205,7597,6694,85248,36547,
Dumka,73,37,126,210,813,289,1578,3497,10211,19433,380,400,9355,6158,27883,14158,
East Singhbhum,128,20,651,3016,910,95,932,3421,14614,37813,663,476,9808,9754,68498,33905,
Garhwa,82,19,114,165,203,57,374,545,10756,17721,110,92,7544,9496,40689,28768,
Giridih,109,55,526,1970,1819,1676,2986,7263,17824,39241,743,594,18065,21820,80178,61793,
Godda,101,66,119,169,793,509,1222,2690,9340,20624,256,261,6007,7724,25154,20629,
Gumla,26,2,182,669,524,485,764,1717,7571,18336,539,519,3575,5197,7096,8642,
Hazaribagh,92,61,487,1749,405,129,881,2409,16013,37946,401,250,7932,10085,47009,29468,
Jamtara,67,20,119,177,383,417,542,910,6090,10586,222,342,347,119,977,314,
Khunti,31,22,91,241,305,117,325,663,5030,12321,130,177,1745,1571,10434,4650,
Koderma,55,20,219,919,177,62,370,1253,6860,18725,237,236,3399,5033,29223,16066,
Latehar,57,45,159,333,241,242,649,1311,7540,16612,207,133,2148,3564,8100,9052,
Lohardaga,28,3,158,584,153,20,272,774,4799,12289,335,516,1678,1392,4691,2874,
Pakur,87,88,147,328,361,365,787,2086,7238,16467,291,263,6396,10167,16399,21298,
Palamu,94,35,101,151,386,124,320,456,16607,30077,338,390,10694,12025,61336,38843,
Ramgarh,41,12,158,663,319,341,296,879,6153,14334,222,234,5627,6824,24117,17879,
Ranchi,194,127,562,3049,1442,487,1935,8290,19413,52351,860,1340,9392,12156,64008,37200,
Sahibganj,110,47,102,155,706,287,684,1317,8942,17621,182,148,5071,7783,18264,18627,
Seraikela-Kharsawan,56,2,309,1445,144,6,427,1649,8873,22491,475,421,1799,2049,13779,7816,
Simdega,43,4,123,445,278,51,380,825,5499,11750,187,159,1299,600,3404,1337,
West Singhbhum,100,5,288,786,242,46,497,1151,11080,30506,212,155,2161,2425,8404,7428,
