district,digital_coverage_for_savings_accounts_eligible_operative_savings_accounts_no_of,"of_which,_no_of_women_accounts","coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_aug_24,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts_aug_24,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_aug_24,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Bokaro,2332213,983265,2332213,100.00,983265,100.00,369253,45747,45747,100.00,6517
Chatra,1024455,454670,1024455,100.00,454670,100.00,158883,9030,9030,100.00,1919
Deoghar,1729243,787765,1729243,100.00,787765,100.00,342921,28679,28679,100.00,4758
Dhanbad,3095479,1330513,3095479,100.00,1330513,100.00,403506,76145,76145,100.00,10887
Dumka,1307639,667170,1307639,100.00,667170,100.00,318414,14361,14361,100.00,3701
Garhwa,1231584,538622,1231584,100.00,538622,100.00,214975,11602,11602,100.00,3076
Giridih,2766625,1263156,2766625,100.00,1263156,100.00,355408,32318,32318,100.00,4214
Godda,1249045,592977,1249045,100.00,592977,100.00,268768,12083,12083,100.00,3093
Gumla,1019050,488821,1019050,100.00,488821,100.00,116172,8697,8697,100.00,1500
Hazaribagh,2146644,959424,2146644,100.00,959424,100.00,288929,36853,36853,100.00,5492
Jamtara,802295,347642,802295,100.00,347642,100.00,190151,7084,7084,100.00,2240
Khunti,459434,217651,459434,100.00,217651,100.00,77151,4666,4666,100.00,1117
Koderma,873926,393445,873926,100.00,393445,100.00,162921,17365,17365,100.00,2736
Latehar,703963,321777,703963,100.00,321777,100.00,143416,10886,10886,100.00,1697
Lohardaga,550947,255946,550947,100.00,255946,100.00,78320,7196,7196,100.00,1388
Pakur,870448,452387,870448,100.00,452387,100.00,228812,11368,11368,100.00,2195
Palamu,1904560,831397,1904560,100.00,831397,100.00,363372,22616,22616,100.00,4974
Ramgarh,1142400,496211,1142400,100.00,496211,100.00,192562,19079,19079,100.00,5245
Sahibganj,1025770,497626,1025770,100.00,497626,100.00,308076,11806,11806,100.00,3765
Seraikela-Kharsawan,1107256,508113,1107256,100.00,508113,100.00,176474,17263,17263,100.00,2074
Simdega,611547,303002,611547,100.00,303002,100.00,72810,5623,5623,100.00,598
