district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,357,951.12,4705,7615.30,194,158.70,63,356.53,,,20,154.23,5339,9235.87
Chatra,319,386.40,2177,1535.89,1,0.00,15,18.72,1,20.00,9,53.37,2522,2014.38
Deoghar,1031,739.05,6915,6955.09,49,145.07,40,62.82,1,0.00,10,16.50,8046,7918.52
Dhanbad,416,933.09,10788,15829.03,235,179.20,167,1481.74,1,0.80,24,323.71,11631,18747.57
Dumka,911,1081.62,3197,1897.40,15,7.39,11,4.66,2,5.04,6,3.10,4142,2999.20
East Singhbhum,797,2361.69,5875,14132.28,324,354.89,985,6732.03,5,7.50,31,166.22,8017,23754.61
Garhwa,605,827.03,2699,2380.05,10,0.79,3,15.02,,,8,4.39,3325,3227.28
Giridih,523,637.13,12496,8862.10,12,13.29,43,1211.35,1,0.49,45,248.49,13120,10972.85
Godda,640,691.47,5350,4395.86,17,6.32,25,29.72,,,5,2.68,6037,5126.05
Gumla,1882,1520.37,1431,1038.50,1,0.20,21,103.53,1,0.00,1,0.20,3337,2662.80
Hazaribagh,659,1135.15,6360,7298.03,61,49.52,40,464.55,7,2.16,60,271.53,7187,9220.94
Jamtara,360,290.30,3710,1880.53,3,0.00,4,8.16,,,7,16.29,4084,2195.27
Khunti,1786,1351.40,620,608.13,43,26.32,25,26.80,1,0.08,7,19.42,2482,2032.15
Koderma,119,225.19,2749,2280.56,2,0.00,21,49.62,,,14,146.01,2905,2701.38
Latehar,449,681.05,1792,1613.22,14,0.72,9,53.22,,,2,1.00,2266,2349.21
Lohardaga,297,537.96,3561,2395.54,3,1.00,9,4.85,1,8.70,9,3.66,3880,2951.70
Pakur,491,580.89,12467,9965.59,1,0.90,37,113.96,1,0.14,4,12.44,13001,10673.92
Palamu,902,1159.98,3744,3803.26,5,11.58,11,209.61,,,15,41.35,4677,5225.78
Ramgarh,186,579.84,3201,4376.77,19,15.25,82,843.50,1,0.35,24,313.89,3513,6129.60
Ranchi,7027,13308.91,92742,54873.69,582,482.24,267,2063.43,1,0.50,76,1524.02,100695,72252.78
Sahibganj,819,745.10,6014,5057.48,1,0.50,9,9.24,,,2,0.68,6845,5813.00
Seraikela-Kharsawan,458,588.24,5208,2707.17,18,27.70,39,153.87,1,0.00,10,6.65,5734,3483.62
Simdega,3357,1913.69,573,721.50,2,0.40,3,1.35,,,3,2.95,3938,2639.89
West Singhbhum,1227,1244.36,1578,1610.28,22,36.09,72,305.54,2,0.04,12,9.76,2913,3206.06
