district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,78,355,,,0.00,1498,2850,1103,1612.98,56.60,895,5190,345,1435.36,27.66
Chatra,35,156,,,0.00,78,175,46,67.79,38.67,26,197,20,146.55,74.47
Deoghar,64,290,,,0.00,469,976,345,536.71,54.97,380,1742,110,552.22,31.69
Dhanbad,72,326,1.00,940,288.26,2281,3847,1945,2358.85,61.31,3937,16610,1142,6182.84,37.22
Dumka,41,188,,,0.00,80,182,54,75.32,41.35,108,907,70,322.68,35.57
East Singhbhum,78,353,,,0.00,2843,7017,2015,3736.26,53.25,3140,11780,875,4042.81,34.32
Garhwa,32,143,,,0.00,121,241,87,107.34,44.57,104,488,42,133.61,27.35
Giridih,69,310,,,0.00,381,680,259,331.45,48.73,245,1152,92,347.79,30.18
Godda,34,152,,,0.00,160,279,112,129.24,46.40,140,1433,81,745.93,52.06
Gumla,29,129,,,0.00,314,525,69,125.19,23.83,63,414,35,142.70,34.47
Hazaribagh,64,290,,,0.00,571,1163,422,686.07,58.98,386,2245,200,735.73,32.78
Jamtara,22,100,,,0.00,328,408,58,89.82,22.02,22,218,26,179.67,82.45
Khunti,21,97,,,0.00,69,147,52,84.39,57.40,54,362,37,145.43,40.20
Koderma,32,147,,,0.00,247,421,176,212.16,50.39,128,714,38,271.17,38.01
Latehar,27,125,,,0.00,119,183,72,127.49,69.73,45,343,23,86.81,25.32
Lohardaga,21,97,,,0.00,67,126,52,75.71,59.94,87,214,11,37.44,17.47
Pakur,25,113,,,0.00,89,128,36,52.83,41.34,36,287,13,59.63,20.81
Palamu,41,183,,,0.00,283,553,218,315.26,57.06,211,1423,115,433.08,30.43
Ramgarh,50,228,,,0.00,390,778,279,432.41,55.60,211,1541,133,341.79,22.18
Ranchi,113,510,,,0.00,4789,11188,3201,6432.71,57.50,3810,28149,1600,9806.38,34.84
Sahibganj,35,156,,,0.00,279,422,86,120.75,28.59,70,529,75,176.94,33.45
Seraikela-Kharsawan,47,213,,,0.00,1006,1445,652,748.11,51.77,546,2440,165,740.75,30.36
Simdega,20,93,,,0.00,39,64,28,56.92,88.70,33,100,8,32.24,32.25
West Singhbhum,53,245,,,0.00,570,1202,254,405.04,33.70,152,1522,103,604.33,39.70
