district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,13951,4804.72,7881,8832.55,795,5066.89,22627,18704.17
Chatra,5511,1944.63,2990,2978.64,297,1908.18,8798,6831.45
Deoghar,6564,2724.43,6008,7716.71,830,5473.05,13402,15914.20
Dhanbad,26435,9492.22,13722,15165.25,1257,8369.13,41414,33026.60
Dumka,11105,3621.61,6082,6072.07,346,2401.96,17533,12095.64
East Singhbhum,25233,8500.39,14750,15846.49,1480,9713.49,41463,34060.37
Garhwa,14434,5034.25,6190,6293.16,432,2847.39,21056,14174.81
Giridih,44281,14963.53,19707,17831.72,780,5199.43,64768,37994.68
Godda,15102,4968.38,8050,8064.81,443,2949.87,23595,15983.06
Gumla,11296,3526.55,3938,3528.83,201,1306.00,15435,8361.37
Hazaribagh,16787,5693.31,11662,12014.94,932,6023.92,29381,23732.18
Jamtara,1613,530.87,1079,1725.51,173,1237.97,2865,3494.35
Khunti,2607,744.26,1455,1587.48,138,783.47,4200,3115.20
Koderma,8130,2940.91,7104,6712.19,389,2296.23,15623,11949.32
Latehar,6333,2081.16,3138,3286.20,351,2265.44,9822,7632.80
Lohardaga,3043,1030.37,1720,1943.50,216,1293.37,4979,4267.25
Pakur,23838,7558.44,11181,9439.21,256,1683.02,35275,18680.67
Palamu,17908,6242.19,11038,11474.18,725,5131.32,29671,22847.69
Ramgarh,10507,3604.93,7432,7513.58,561,3317.59,18500,14436.10
Ranchi,29027,10441.82,19440,22292.77,2424,15596.24,50891,48330.82
Sahibganj,16795,5490.27,8305,8176.89,521,3427.94,25621,17095.10
Seraikela-Kharsawan,6156,2131.19,3566,3856.27,342,2174.91,10064,8162.37
Simdega,1213,413.88,746,887.14,143,802.69,2102,2103.71
West Singhbhum,8123,2574.13,3754,4377.17,399,2568.17,12276,9519.47
