district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,82421,13502.16,15492,2258.30,46495,37525.20,6973,6608.28,3702,20699.21,704,3584.73,132618,71727,23169,12451
Chatra,26912,4916.74,3681,657.43,13477,10955.25,1949,1980.02,1298,6942.77,180,1040.43,41687,22815,5810,3678
Deoghar,27708,5695.11,2877,627.40,22982,21615.35,2677,2783.70,2007,12269.57,241,1088.71,52697,39580,5795,4500
Dhanbad,145165,25564.98,21475,2886.80,69710,51374.16,7358,6203.17,4637,28042.12,750,3510.57,219512,104981,29583,12601
Dumka,40647,7871.18,6074,1025.05,22575,15697.35,2791,2078.35,957,5094.79,163,583.38,64179,28663,9028,3687
East Singhbhum,108821,19511.43,11706,2168.02,68820,53201.06,7953,7385.51,5254,31562.81,806,4232.60,182895,104275,20465,13786
Garhwa,59363,11383.81,9488,1536.70,28043,15897.08,3064,1699.52,1070,6159.98,88,428.94,88476,33441,12640,3665
Giridih,181063,32055.97,17313,2309.19,92073,57244.71,6684,5984.20,3092,18051.44,414,2225.91,276228,107352,24411,10519
Godda,60796,11245.93,8056,1166.37,35359,23075.33,3573,2839.68,1256,7108.25,185,887.80,97411,41430,11814,4894
Gumla,36836,6033.38,1832,330.31,11934,9103.75,1101,1236.04,993,5217.79,134,688.37,49763,20355,3067,2255
Hazaribagh,77262,14036.32,8841,1402.01,51147,39800.21,5546,5742.89,3830,21853.10,579,2905.78,132239,75690,14966,10051
Jamtara,6376,975.12,897,166.98,4552,5745.62,905,998.73,451,2626.60,52,228.38,11379,9347,1854,1394
Khunti,11542,1522.91,810,230.18,6269,5834.77,644,751.05,535,2937.71,57,290.53,18346,10295,1511,1272
Koderma,42573,7223.98,5763,703.87,31593,21630.64,2973,2505.15,1575,9281.26,248,1286.67,75741,38136,8984,4496
Latehar,25145,4434.92,2937,466.78,13446,8409.77,1169,794.62,669,4002.79,62,256.80,39260,16847,4168,1518
Lohardaga,14156,2143.77,974,194.05,7756,7519.71,1046,1401.61,948,5135.36,121,619.99,22860,14799,2141,2216
Pakur,75840,12973.42,6775,890.65,42894,22574.30,2639,1478.60,1050,4337.80,99,377.67,119784,39886,9513,2747
Palamu,78585,15684.72,9184,2008.71,49106,29419.95,4625,3719.59,1951,11157.68,339,1531.94,129642,56262,14148,7260
Ramgarh,50665,8622.72,7262,1118.65,33118,24820.77,3518,3335.37,1932,11358.93,277,1554.50,85715,44802,11057,6009
Ranchi,118151,23157.06,13451,2396.29,94588,80257.78,10624,10572.46,10131,56603.58,1476,7904.34,222870,160018,25551,20873
Sahibganj,63564,11005.01,6803,870.25,35754,21229.47,3072,1786.79,1449,7497.56,166,759.04,100767,39732,10041,3416
Seraikela-Kharsawan,31767,4907.07,4358,559.89,17498,16582.35,2068,2147.83,1277,7561.52,188,1071.80,50542,29051,6614,3780
Simdega,7270,906.48,599,132.99,3625,4176.44,555,726.56,540,3135.70,67,425.20,11435,8219,1221,1285
West Singhbhum,37968,5929.29,4577,748.94,21978,22092.15,2487,2512.71,1441,8820.85,210,1077.43,61387,36842,7274,4339
