district,kccs_for_animal_husbandry_and_allied_activities_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,farmers_producer_organizations_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,dairy_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,farm_mechanization_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,poultry_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,fisheries_as_of_30092024_no,amt,from_01042024_to_30092024_no,[no_in_actual_and_amt_in_lakh]_annexure_14_b_amt,rural_godowns_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt,agri_clinics_as_of_30092024_no,amt,from_01042024_to_30092024_no,amt
Bokaro,105,120.79,53,55.40,,,,,2505,1775.20,658,636.64,3321,1324.65,550,314.03,475,1302.44,147,761.28,395,183.23,93,59.18,,,,,1,0.10,,
Chatra,96,46.88,9,3.60,,,,,764,442.67,177,139.42,2046,1034.02,216,136.14,336,172.94,156,81.69,687,219.22,100,42.88,,,,,,,,
Deoghar,269,108.99,46,18.03,2,7.25,,,1062,2027.68,309,776.42,412,576.59,2,1.66,21,81.46,7,68.29,16,6.59,6,2.04,35,37.55,,,,,,
Dhanbad,87,171.42,35,57.38,,,,,2122,1904.50,736,688.72,3265,2887.76,645,338.21,312,831.99,88,346.70,461,188.35,224,95.79,2,61.40,,,2,3.63,,
Dumka,72,40.44,18,21.20,5,20.00,3,19.00,1552,901.66,197,250.32,437,1005.50,91,49.53,242,164.25,39,77.01,237,65.65,83,28.72,,,,,,,,
East Singhbhum,96,209.26,47,123.55,2,4.93,,,2148,5948.91,1526,4308.80,2959,2885.19,592,362.43,720,906.26,302,568.18,241,152.53,104,93.19,2,13.95,,,1,4.15,,
Garhwa,65,46.39,22,15.95,1,,,,3214,956.87,355,181.39,4816,2123.59,815,517.34,341,192.31,75,68.37,580,134.46,110,50.52,123,26.01,,,,,,
Giridih,104,88.57,48,28.40,1,,,,2829,1433.99,795,701.17,5036,2624.31,551,426.77,975,398.62,213,113.20,886,288.53,268,116.32,1,268.43,,,2,1.18,,
Godda,230,103.30,90,38.72,,,,,5524,1643.85,1239,558.34,3669,1623.78,636,342.87,230,257.64,93,107.01,253,73.47,60,23.83,,,,,,,,
Gumla,45,26.43,12,2.95,,,,,200,245.58,62,58.63,1428,928.28,230,140.26,31,22.36,18,12.57,11,3.66,4,1.85,,,,,,,,
Hazaribagh,365,206.37,129,42.55,,,1,30.00,3538,1775.22,1132,768.44,7164,3061.60,1211,738.22,723,900.97,283,338.16,763,270.57,192,114.25,4,981.13,,,,,,
Jamtara,47,16.31,16,9.54,,,,,105,155.21,38,71.51,56,73.99,,,32,32.83,11,8.01,19,8.27,5,2.49,,,,,,,,
Khunti,118,67.19,72,23.20,2,18.61,,,142,136.24,65,43.66,800,489.66,93,59.81,31,41.94,17,13.49,15,4.52,10,2.50,,,,,,,,
Koderma,39,25.10,10,9.72,,,,,124,171.03,50,82.88,2399,1125.86,360,221.80,130,227.59,60,64.54,5,4.84,1,0.40,,,,,,,,
Latehar,243,85.87,29,13.20,,,,,201,193.56,52,48.53,898,1206.34,47,100.31,134,163.79,31,36.26,16,8.85,3,2.35,,,,,,,,
Lohardaga,165,62.94,57,14.53,,,,,118,167.51,46,30.34,425,703.33,62,47.00,17,33.14,5,24.05,37,29.60,14,4.12,,,,,,,,
Pakur,152,104.79,70,48.94,,,,,4048,1226.07,1222,564.21,116,46.65,2,0.77,121,39.86,36,15.59,646,194.85,237,110.94,,,,,1,30.80,,
Palamu,133,80.09,26,11.23,,,,,4247,1488.77,727,583.81,9837,4229.75,1053,643.68,1340,1213.99,319,221.07,1786,512.90,253,107.30,,,,,2,52.54,,
Ramgarh,86,80.47,44,20.45,1,0.14,,,3332,1342.98,681,475.40,2643,1006.53,240,170.41,786,459.40,235,144.04,667,206.65,182,78.22,2,32.10,1,15.00,,,,
Ranchi,1453,2561.91,508,9008.11,1,,,,4714,5645.51,2028,2550.34,6927,10936.42,595,2824.53,398,868.58,141,386.47,358,178.64,97,56.53,3,796.32,,,18,36.49,,
Sahibganj,411,261.84,179,128.74,,,,,2286,732.65,224,142.58,2066,1459.41,475,315.08,200,92.61,26,24.65,565,178.47,107,54.17,1,66.37,,,,,,
Seraikela-Kharsawan,81,61.83,29,18.02,1,,,,294,447.30,164,230.83,1896,1464.80,212,186.01,70,1108.90,30,154.46,91,60.04,40,25.81,,,,,1,14.00,,
Simdega,24,21.70,16,0.21,1,0.70,1,0.00,140,211.22,68,100.92,119,238.39,9,42.72,22,11.10,8,3.65,26,7.28,7,2.30,,,,,,,,
West Singhbhum,128,104.30,60,32.72,1,,,,570,726.20,186,258.30,2520,2797.64,248,134.93,226,179.37,74,50.60,73,45.00,31,18.46,89,184.69,,,1,14.86,,
