district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,592021,265437,380479,476979,857458,60889,7.10,39079.18,2179,1.26,650040,75.81,202768,755463,88.10,
Chatra,675871,21728,331781,365818,697599,43515,6.24,34432.56,183,0.53,469155,67.25,70464,612713,87.83,
Deoghar,866736,256041,525108,597669,1122777,82147,7.32,52997.39,646,4.42,750701,66.86,206747,958415,85.36,
Dhanbad,852267,373637,533044,692860,1225904,74555,6.08,50578.82,3859,1.77,938968,76.59,203310,1101683,89.87,
Dumka,808063,66787,416588,458262,874850,71031,8.12,39305.95,837,0.52,554929,63.43,137888,730665,83.52,
East Singhbhum,546043,326408,396792,475659,872451,58267,6.68,41326.81,1639,6.90,686490,78.69,245938,776531,89.01,
Garhwa,810828,117748,461321,467255,928576,84008,9.05,34782.77,202,0.20,581258,62.60,248798,772142,83.15,
Giridih,1318636,136167,651319,803484,1454803,102188,7.02,68803.13,725,1.56,991719,68.17,278516,1299275,89.31,
Godda,812235,57070,400535,468770,869305,80064,9.21,31902.65,734,0.44,553732,63.70,171711,715089,82.26,
Gumla,532367,75823,280257,327933,608190,50949,8.38,37705.88,170,2.22,399044,65.61,85768,539382,88.69,
Hazaribagh,807393,189722,457276,539839,997115,85753,8.60,48189.61,1427,0.91,677385,67.93,232829,884903,88.75,
Jamtara,474631,32456,240939,266148,507087,35143,6.93,21045.96,526,0.11,321020,63.31,64040,442331,87.23,
Khunti,231241,12210,115424,128027,243451,21116,8.67,13970.46,728,1.04,127391,52.33,95773,220404,90.53,
Koderma,361654,41142,173750,229046,402796,23957,5.95,21655.14,178,0.76,314560,78.09,78553,369131,91.64,
Latehar,564032,48132,292416,319748,612164,50762,8.29,24551.09,245,3.03,385453,62.97,149446,521893,85.25,
Lohardaga,291559,16543,139878,168224,308102,32430,10.53,15735.74,253,0.02,193054,62.66,90401,288548,93.65,
Pakur,656367,60887,336423,380831,717254,55863,7.79,20680.10,241,0.16,479334,66.83,110086,630268,87.87,
Palamu,1108497,274308,682891,699914,1382805,133558,9.66,51140.96,169,0.69,956430,69.17,280690,1156916,83.66,
Ramgarh,306046,33598,152803,186841,339644,28144,8.29,19790.54,1712,3.49,249125,73.35,77003,316225,93.10,
Ranchi,1046636,425450,684765,787320,1472085,118577,8.06,73613.90,9186,14.72,885316,60.14,471668,1228928,83.48,
Sahibganj,726609,245767,464466,507910,972376,69396,7.14,30253.91,600,0.42,639871,65.80,87365,831383,85.50,
Simdega,339448,12883,158672,193659,352331,17695,5.02,23242.74,842,0.06,262337,74.46,49707,328733,93.30,
West Singhbhum,677021,123198,373268,426951,800219,47965,5.99,42517.64,5501,4.88,568079,70.99,191156,716301,89.51,
