district,total_applications_recd_1st,2nd,3rd,applications_returned_1st,2nd,3rd,applications_returned_after_sanction_1st,2nd,3rd,applications_pending_1st,2nd,3rd,applications_sanctioned_1st,2nd,3rd,applications_sanctioned_but_pending_for_disb_1st,2nd,3rd,total_applications_disbursed_1st,2nd,3rd,npa_1st,2nd,3rd,disb_pct_out_of_sanction_1st,2nd,3rd
Bokaro,6737,1426,174,928,240,17,324,34,1,247,221,30,5238,931,126,274,40,7,4964,891,119,322,10,,95,96,94
Chatra,1190,520,46,211,249,5,159,45,12,37,27,11,783,199,18,13,4,2,770,195,16,122,2,,98,98,89
Deoghar,6730,1653,272,812,360,23,403,86,11,276,304,73,5239,903,165,274,91,25,4965,812,140,708,56,,95,90,85
Dhanbad,18957,3572,458,3480,1147,85,1406,245,30,530,331,67,13541,1849,276,367,78,11,13174,1771,265,826,9,,97,96,96
Dumka,1360,413,65,23,9,5,22,10,2,38,84,14,1277,310,44,66,22,5,1211,288,39,262,8,,95,93,89
Garhwa,2261,572,49,243,218,,294,48,2,69,86,17,1655,220,30,50,11,2,1605,209,28,123,2,,97,95,93
Giridih,5089,1124,128,690,110,17,325,37,5,139,109,24,3935,868,82,142,67,4,3793,801,78,580,27,,96,92,95
Godda,1761,575,99,216,147,4,91,34,,32,20,31,1422,374,64,19,24,6,1403,350,58,122,3,,99,94,91
Gumla,878,289,29,70,32,6,50,19,,11,18,10,747,220,13,13,29,2,734,191,11,68,1,,98,87,85
Hazaribagh,5567,710,89,874,148,10,468,60,10,172,74,20,4053,428,49,255,32,6,3798,396,43,136,3,,94,93,88
Jamtara,1208,258,34,184,40,3,78,23,,56,39,14,890,156,17,43,20,2,847,136,15,52,4,,95,87,88
Khunti,792,294,38,80,74,16,84,19,,12,44,3,616,157,19,11,4,4,605,153,15,21,,,98,97,79
Koderma,2622,884,154,283,70,7,162,82,20,95,91,37,2082,641,90,50,31,6,2032,610,84,354,25,,98,95,93
Latehar,634,275,84,20,3,5,22,5,3,19,21,10,573,246,66,38,34,9,535,212,57,48,3,,93,86,86
Lohardaga,1422,343,65,312,49,12,79,28,1,48,20,22,983,246,30,52,18,3,931,228,27,45,,,95,93,90
Pakur,819,232,35,126,44,1,74,17,2,10,42,10,609,129,22,10,20,3,599,109,19,33,3,1,98,84,86
Palamu,6261,1407,222,352,130,21,487,74,2,199,231,72,5223,972,127,138,49,12,5085,923,115,207,5,,97,95,91
Ramgarh,3363,785,107,792,280,15,400,53,10,120,62,26,2051,390,56,92,12,2,1959,378,54,128,2,,96,97,96
Ranchi,18840,4442,529,1228,1199,94,2333,311,28,449,488,132,14830,2444,275,757,170,16,14073,2274,259,547,16,,95,93,94
Sahibganj,2660,484,73,242,89,3,154,46,3,126,119,17,2138,230,50,67,6,2,2071,224,48,129,5,,97,97,96
Seraikela-Kharsawan,4109,917,120,697,364,21,341,50,4,239,87,23,2832,416,72,76,20,5,2756,396,67,126,3,,97,95,93
Simdega,862,287,34,173,71,9,18,1,,28,22,6,643,193,19,14,33,,629,160,19,57,1,,98,83,100
West Singhbhum,2293,630,105,251,174,17,158,62,4,127,41,17,1757,353,67,35,10,7,1722,343,60,94,2,,98,97,90
