district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,9224,21521.27,301,6938.77,447,443.58,9078,28016.46
Chatra,113,124.15,10,22.00,0,0.00,123,146.15
Deoghar,3653,5373.44,199,429.55,17,27.88,3835,5775.11
Dhanbad,4319,7292.13,393,1021.93,92,145.49,4620,8168.16
Dumka,523,467.35,180,36.74,4,9.00,699,495.09
East Singhbhum,1437,4091.82,137,678.75,22,73.22,1552,4697.35
Garhwa,347,187.56,9,9.68,0,0.00,356,197.24
Giridih,9843,8597.59,80,2824.25,380,200.37,9543,11221.47
Godda,1396,903.81,146,113.29,357,94.99,1185,922.11
Gumla,169,1328.8,5,6.00,0,0.00,174,1334.80
Hazaribagh,684,2692.99,138,109.61,92,258.03,730,2544.57
Jamtara,442,417.43,91,51.42,76,73.30,457,395.55
Khunti,46,405.88,4,6.00,0,0.00,50,411.88
Koderma,41,214.44,19,51.81,0,0.00,60,266.25
Latehar,171,141.88,212,218.77,20,7.09,363,353.46
Lohardaga,50,869.98,2,23.01,0,0.00,52,142.91
Pakur,1399,1093.61,95,98.76,104,148.00,1390,1044.37
Palamu,1244,1075.81,5,52.99,0,0.00,1249,1128.80
Ramgarh,458,1140.72,16,47.10,0,0.00,474,1187.82
Ranchi,2303,56727.024,168,1005.85,120,689.43,2351,57076.96
Sahibganj,1021,1070.39,64,45.34,57,32.48,1028,1083.25
Seraikela-Kharsawan,331,1006.53,16,99.77,11,31.76,336,1074.54
Simdega,54,138.22,21,159.36,0,0.00,75,297.18
West Singhbhum,420,1627.68,28,66.47,11,11.78,437,1682.37
