district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,26068,308377,10141.00,87597,440.00,55004,103.00,31445,5.00,213,10689.00,174259,56.51
Chatra,4934,29556,2609.00,12515,30.00,2578,12.00,775,,,2651.00,15868,53.69
Deoghar,17263,158608,6842.00,52336,265.00,23393,50.00,20917,1.00,0,7158.00,96647,60.93
Dhanbad,44938,526699,15345.00,136873,955.00,131825,246.00,33748,7.00,54,16553.00,302501,57.43
Dumka,9723,79126,3619.00,16963,165.00,14807,23.00,2434,3.00,170,3810.00,34373,43.44
East Singhbhum,43605,901783,16428.00,191582,2049.00,207903,487.00,146772,3.00,12,18967.00,546269,60.58
Garhwa,5656,29858,2092.00,11746,58.00,2769,4.00,246,1.00,20,2155.00,14781,49.50
Giridih,24837,160097,10218.00,57710,228.00,27279,44.00,4346,1.00,35,10491.00,89370,55.82
Godda,10010,47371,3847.00,17395,121.00,5617,7.00,1199,1.00,10,3976.00,24221,51.13
Gumla,3982,29256,1763.00,11801,70.00,4730,5.00,243,,,1838.00,16774,57.33
Hazaribagh,21264,176442,9659.00,62711,320.00,29924,79.00,6368,3.00,3,10061.00,99006,56.11
Jamtara,4725,17535,1928.00,7543,41.00,1572,5.00,279,,,1974.00,9394,53.57
Khunti,3344,19762,1441.00,7526,35.00,2933,2.00,251,,,1478.00,10711,54.20
Koderma,11766,65848,4931.00,28264,115.00,8464,30.00,796,,,5076.00,37524,56.98
Latehar,5061,21295,2980.00,10863,36.00,2488,3.00,62,1.00,50,3020.00,13463,63.22
Lohardaga,3816,25504,1784.00,10545,66.00,3242,4.00,770,,,1854.00,14557,57.08
Pakur,10263,38424,4221.00,16303,112.00,6354,16.00,1472,,,4349.00,24129,62.80
Palamu,10371,71501,3862.00,25004,148.00,11683,20.00,1668,,,4030.00,38356,53.64
Ramgarh,11125,121257,5210.00,37205,209.00,25334,93.00,5719,2.00,0,5514.00,68258,56.29
Ranchi,91899,1174466,30555.00,296936,1836.00,238865,431.00,129294,11.00,1505,32833.00,666600,56.76
Sahibganj,9081,25405,3353.00,10867,47.00,1207,13.00,104,,,3413.00,12177,47.93
Seraikela-Kharsawan,20572,196523,5811.00,37988,387.00,48391,162.00,38645,1.00,360,6361.00,125384,63.80
Simdega,2795,14468,1257.00,7742,27.00,780,3.00,15,1.00,0,1288.00,8537,59.01
West Singhbhum,9913,60840,4020.00,20235,163.00,9627,29.00,2574,1.00,15,4213.00,32451,53.34
