district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_7
Bokaro,198234,791473,87274,448112.00,56.62,
Chatra,89620,122629,40108,51648.62,42.12,
Deoghar,198476,396751,66541,181357.47,45.71,
Dhanbad,295353,1184484,119762,633449.55,53.48,
Dumka,143480,208117,48843,85127.27,40.90,
East Singhbhum,421578,2057319,197740,1312693.72,63.81,
Garhwa,138800,178298,33976,58427.31,32.77,
Giridih,214147,445358,92754,219356.96,49.25,
Godda,124862,176152,45597,73598.33,41.78,
Gumla,66630,110348,24161,44954.32,40.74,
Hazaribagh,206708,477947,87658,233904.52,48.94,
Jamtara,81484,93062,28992,33988.52,36.52,
Khunti,51698,77699,21327,33748.71,43.44,
Koderma,84196,168862,36426,81429.48,48.22,
Latehar,66981,99054,23838,41501.72,41.90,
Lohardaga,48277,85254,21013,36967.54,43.36,
Pakur,96632,120015,38487,56495.89,47.07,
Palamu,223942,323744,55075,115745.86,35.75,
Ramgarh,100965,302314,45603,167353.21,55.36,
Ranchi,1213093,4175990,466759,2309558.93,55.31,
Sahibganj,108009,135093,36895,48117.01,35.62,
Simdega,36926,53778,16864,24021.87,44.67,
West Singhbhum,125547,454247,46721,380083.70,83.67,
