district,no_of_br,rural_deposit,as_on_30th_september_2024_[amount_in_lakh]_advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,core_advances,cd_ratio,total_place_of_utilization,total_advances,cd_ratio_incl_pou,col_18
Bokaro,217,434005,130081,29.97,501655,155186,30.93,1480432,633364,42.78,2416092,918631,38.02,505827.93,1424459,58.96,
Chatra,66,202740,76967,37.96,263939,68947,26.12,1024,5390,526.59,467702,151305,32.35,,151305,32.35,
Deoghar,143,274718,103266,37.59,109110,45950,42.11,687448,272741,39.67,1071276,421957,39.39,,421957,39.39,
Dhanbad,303,515283,122804,23.83,432150,201157,46.55,3242641,1254499,38.69,4190075,1578460,37.67,156640.75,1735101,41.41,
Dumka,117,265201,92415,34.85,327298,127045,38.82,5538,3302,59.63,598037,222762,37.25,,222762,37.25,
East Singhbhum,346,327249,135770,41.49,644621,195536,30.33,3357677,2105079,62.69,4329548,2436386,56.27,687922.00,3124308,72.16,
Garhwa,98,162087,77696,47.93,214161,94766,44.25,1007,2049,203.46,377255,174511,46.26,28074.88,202586,53.70,
Giridih,177,632913,209617,33.12,53455,12766,23.88,391646,259379,66.23,1078014,481762,44.69,4500.00,486262,45.11,
Godda,103,275572,107090,38.86,258493,96486,37.33,910,2737,300.83,534975,206314,38.57,70000.00,276314,51.65,
Gumla,83,165909,51448,31.01,240787,81818,33.98,2763,3510,127.05,409460,136777,33.40,,136777,33.40,
Hazaribagh,177,428866,162567,37.91,175955,101676,57.79,815768,379472,46.52,1420588,643715,45.31,,643715,45.31,
Jamtara,68,139582,46295,33.17,184751,52453,28.39,,1457,,324332,100204,30.90,,100204,30.90,
Khunti,52,111975,47818,42.70,126751,54754,43.20,3814,3027,79.35,242541,105599,43.54,,105599,43.54,
Koderma,63,162672,57824,35.55,306895,136341,44.43,2574,9167,356.06,472141,203332,43.07,,203332,43.07,
Latehar,54,114749,51684,45.04,156508,66141,42.26,,2561,,271257,120386,44.38,,120386,44.38,
Lohardaga,46,68566,37936,55.33,150722,64493,42.79,1744,2167,124.23,221032,104596,47.32,,104596,47.32,
Pakur,61,109208,55786,51.08,177888,84333,47.41,,2627,,287096,142746,49.72,,142746,49.72,
Palamu,136,292107,135915,46.53,569547,208913,36.68,,8206,,861654,353033,40.97,4100.00,357133,41.45,
Ramgarh,115,245218,91973,37.51,743860,297655,40.01,1050,15919,1515.35,990129,405547,40.96,43700.00,449247,45.37,
Ranchi,502,669638,484076,72.29,343994,141727,41.20,8474138,3765362,44.43,9487769,4391164,46.28,100605.74,4491770,47.34,
Sahibganj,78,127664,53671,42.04,263501,95738,36.33,,2462,,391165,151871,38.83,,151871,38.83,
Seraikela-Kharsawan,126,332921,183051,54.98,93493,39319,42.06,273217,244239,89.39,699631,466609,66.69,2000.00,468609,66.98,
Simdega,52,103564,27960,27.00,112505,37703,33.51,,1844,,216070,67508,31.24,,67508,31.24,
West Singhbhum,136,227722,93674,41.14,3337086,321915,9.65,104747,45355,43.30,3669555,460944,12.56,396481.00,857425,23.37,
