district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,75084,67214,32588,20964.76,31.19,47706,37560,22097,7066.07,18.81
Chatra,64099,45996,28134,13689.75,29.76,49241,31700,21535,5991.48,18.90
Deoghar,133089,93933,38403,24059.79,25.61,103213,66350,26641,11590.44,17.47
Dhanbad,80802,79898,29070,22934.59,28.70,34984,38544,14251,6967.75,18.08
Dumka,102447,66346,31965,20609.64,31.06,74720,38378,18647,5666.80,14.77
East Singhbhum,117897,107489,48688,32728.97,30.45,80194,65700,36124,12710.46,19.35
Garhwa,110488,106823,22994,23455.91,21.96,67442,59979,12113,10751.65,17.93
Giridih,116947,88754,54065,26779.57,30.17,60333,42079,35111,9118.69,21.67
Godda,91808,71830,30603,19274.58,26.83,64969,47735,20724,8407.28,17.61
Gumla,44618,38795,14759,7776.70,20.05,37096,26759,12187,3616.68,13.52
Hazaribagh,111143,96528,43487,31373.92,32.50,66615,51370,27431,11690.73,22.76
Jamtara,63583,46045,21552,11289.36,24.52,56504,37882,17110,6143.93,16.22
Khunti,35440,23895,14667,6985.36,29.23,22899,14183,11669,3096.00,21.83
Koderma,41056,29854,19276,9258.55,31.01,22141,13411,12019,2460.14,18.34
Latehar,44092,40450,15465,11876.62,29.36,34855,26368,10584,4969.18,18.85
Lohardaga,27805,24525,12323,6060.75,24.71,22622,18887,10596,3906.41,20.68
Pakur,44380,35039,18697,11748.75,33.53,28846,20555,10671,4076.06,19.83
Palamu,160934,149384,31370,31233.75,20.91,98359,88910,16945,14860.81,16.71
Ramgarh,46452,32639,19984,10838.04,33.21,24113,14646,11990,2847.04,19.44
Ranchi,786238,400409,281676,136564.50,34.11,76057,64543,35160,15206.52,23.56
Sahibganj,69065,60979,21855,14701.74,24.11,49365,39899,14051,4423.28,11.09
Seraikela-Kharsawan,123500,71598,49669,21543.89,30.09,48691,29945,23055,6416.18,21.43
Simdega,22854,17990,10356,4827.78,26.84,17433,10098,8338,1692.59,16.76
West Singhbhum,75609,53586,26893,15042.88,28.07,63166,34519,21333,5867.71,17.00
