district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1577,3816.30,20041,30131.66,914,855.92,372,1849.97,2,0.37,157,1710.80,23063,38365.02,
Chatra,2034,2728.10,7484,7167.64,7,5.74,74,157.35,4,33.21,28,85.77,9631,10177.80,
Deoghar,4494,4618.97,22344,17466.56,151,292.03,318,294.75,4,3.71,18,56.86,27329,22732.89,
Dhanbad,1490,4019.68,48773,61034.01,1178,675.52,798,6820.94,1,0.69,77,1232.24,52317,73783.07,
Dumka,4995,6504.60,11241,9292.63,44,52.31,51,74.63,5,18.05,16,6.37,16352,15948.59,
East Singhbhum,3999,10977.20,25720,57950.68,1290,1467.80,3863,23511.25,28,48.96,100,810.69,35000,94766.59,
Garhwa,5131,7049.59,13766,8946.35,25,10.17,24,50.80,,,26,12.32,18972,16069.23,
Giridih,2870,3319.98,40546,33799.79,90,180.28,145,1769.14,4,1.15,110,448.05,43765,39518.39,
Godda,3481,4087.12,16292,15929.55,46,38.95,107,86.19,,,17,6.67,19943,20148.47,
Gumla,7187,8420.43,7579,6021.58,5,5.97,79,298.92,1,0.22,7,27.02,14858,14774.15,
Hazaribagh,2746,5620.90,28499,36883.54,313,294.47,227,1488.25,18,33.89,207,647.97,32010,44969.02,
Jamtara,2874,2699.00,11476,7879.00,7,2.78,22,76.88,,,13,22.53,14392,10680.18,
Khunti,5069,6142.07,2334,2866.66,69,59.47,85,176.31,4,7.38,23,104.79,7584,9356.67,
Koderma,491,1089.86,10568,9340.25,6,10.97,103,795.61,1,0.44,48,385.44,11217,11622.57,
Latehar,2750,4946.16,6210,5675.81,20,22.04,19,72.32,,,14,65.20,9013,10781.53,
Lohardaga,1502,2838.02,13682,11247.20,7,20.44,17,18.70,1,8.48,24,13.89,15233,14146.73,
Pakur,2536,3048.67,36350,28188.71,4,5.25,99,179.21,3,8.29,7,5.86,38999,31435.98,
Palamu,7679,10816.32,19373,14564.53,14,19.60,62,271.59,4,2.22,49,127.72,27181,25801.98,
Ramgarh,904,2646.74,12697,18569.28,121,184.02,473,2085.18,1,0.25,51,767.95,14247,24253.40,
Ranchi,26879,59777.19,344227,162478.76,1764,1893.04,1214,9960.88,5,14.24,330,4630.08,374419,238754.19,
Sahibganj,3222,3921.56,19691,17876.55,61,214.12,100,81.51,1,0.42,13,11.53,23088,22105.69,
Seraikela-Kharsawan,2589,3234.85,21431,9737.12,104,214.69,216,923.26,3,119.47,22,20.26,24365,14249.65,
Simdega,10675,11321.54,2251,2427.45,4,1.29,32,38.45,,,16,58.52,12978,13847.25,
West Singhbhum,5961,7115.86,8182,9628.16,208,519.81,576,2343.06,15,37.21,80,152.09,15022,19796.19,
