district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstanding_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,967,3287.28,381,1070.66,32.57,132618,71726.57,23169,12451.30,17.36,210,3173.18,67,796.22,25.09,13451,30341.37,405,337.01,1.11
Chatra,538,1335.12,205,413.94,31.00,41687,22814.76,5810,3677.88,16.12,62,593.33,13,140.58,23.69,9939,20618.65,445,317.86,1.54
Deoghar,1018,2848.34,378,619.57,21.75,52697,39580.03,5795,4499.81,11.37,164,2302.52,19,310.25,13.47,9706,16690.35,714,687.89,4.12
Dhanbad,1481,4161.49,580,1388.07,33.36,219512,104981.25,29583,12600.54,12.00,283,3866.83,85,845.95,21.88,10216,22062.34,374,204.78,0.93
Dumka,1221,2415.02,403,623.98,25.84,64179,28663.32,9028,3686.79,12.86,73,1349.29,2,0.12,0.01,10211,19432.58,380,400.17,2.06
East Singhbhum,1353,5130.25,392,967.56,18.86,182895,104275.29,20465,13786.13,13.22,375,5093.51,94,1083.20,21.27,14614,37812.77,663,475.98,1.26
Garhwa,378,921.65,76,117.57,12.76,88476,33440.88,12640,3665.16,10.96,21,189.97,3,3.08,1.62,10756,17720.55,110,91.81,0.52
Giridih,1089,3026.73,328,660.57,21.82,276228,107352.12,24411,10519.30,9.80,108,1555.93,11,86.88,5.58,17824,39240.75,743,594.32,1.51
Godda,1056,2578.48,257,448.74,17.40,97411,41429.51,11814,4893.85,11.81,56,908.53,12,112.60,12.39,9340,20623.74,256,261.21,1.27
Gumla,781,2065.96,206,454.26,21.99,49763,20354.91,3067,2254.72,11.08,39,479.56,8,59.99,12.51,7571,18335.86,539,519.09,2.83
Hazaribagh,1347,4337.59,452,1140.30,26.29,132239,75689.63,14966,10050.69,13.28,195,2067.77,57,445.22,21.53,16013,37946.21,401,249.80,0.66
Jamtara,546,976.32,138,145.60,14.91,11379,9347.34,1854,1394.09,14.91,25,362.73,,0.03,0.01,6090,10586.33,222,342.17,3.23
Khunti,498,1030.72,133,213.50,20.71,18346,10295.39,1511,1271.76,12.35,22,282.06,1,0.01,0.01,5030,12321.34,130,176.88,1.44
Koderma,658,1602.89,220,498.26,31.09,75741,38135.87,8984,4495.69,11.79,79,697.49,25,147.72,21.18,6860,18725.28,237,235.83,1.26
Latehar,336,621.44,85,112.46,18.10,39260,16847.49,4168,1518.20,9.01,86,970.58,1,0.01,0.00,7540,16611.54,207,132.90,0.80
Lohardaga,723,1482.78,226,338.32,22.82,22860,14798.84,2141,2215.65,14.97,30,265.31,4,18.13,6.83,4799,12289.27,335,515.80,4.20
Pakur,775,1659.00,197,367.54,22.15,119784,39885.52,9513,2746.92,6.89,34,717.59,3,13.87,1.93,7238,16467.20,291,263.02,1.60
Palamu,476,1425.37,187,361.13,25.34,129642,56262.35,14148,7260.24,12.90,112,1309.12,8,89.89,6.87,16607,30077.04,338,389.67,1.30
Ramgarh,597,2049.94,168,435.56,21.25,85715,44802.42,11057,6008.52,13.41,155,1318.01,26,208.59,15.83,6153,14333.63,222,233.78,1.63
Ranchi,1774,5982.58,719,1858.98,31.07,222870,160018.42,25551,20873.09,13.04,629,9230.27,160,1934.91,20.96,19413,52351.15,860,1339.68,2.56
Sahibganj,802,1873.35,200,360.16,19.23,100767,39732.04,10041,3416.08,8.60,35,532.87,2,0.70,0.13,8942,17621.37,182,148.05,0.84
Simdega,479,1055.78,161,294.11,27.86,11435,8218.62,1221,1284.75,15.63,30,238.46,5,29.56,12.40,5499,11750.06,187,158.78,1.35
West Singhbhum,643,1909.87,205,450.10,23.57,61387,36842.30,7274,4339.08,11.78,47,1514.09,7,29.57,1.95,11080,30506.22,212,154.76,0.51
