district,no_of_cases_pending_no_of_a_cs,amount_in_lacs,no_of_cases_filed_no_of_a_cs,amount_in_lacs,no_of_cases_no_of_a_cs,amount_in_lacs,no_of_cases_no_of_a_cs,amount_in_lacs
Bokaro,178,5949.69,3,103.73,4,112.43,177,5940.99
Chatra,1,10.07,0,0.00,0,0.00,1,10.07
Deoghar,22,3786.47,3,280.75,1,78.00,24,3989.33
Dhanbad,340,12794.10,4,123.89,1,22.00,343,12895.99
Dumka,4,167.21,1,24.00,0,0.00,5,191.21
East Singhbhum,872,41644.76,8,509.98,4,119.03,877,42433.91
Garhwa,4,74.95,0,0.00,0,0.00,4,74.95
Giridih,21,692.03,2,0.94,0,0.00,23,692.97
Godda,12,239.68,0,0.00,1,21.27,11,218.41
Gumla,9,307.24,0,0.00,0,0.00,6,236.58
Hazaribagh,40,1090.98,1,30.48,0,0.00,41,1121.46
Jamtara,0,0.00,0,0.00,0,0.00,0,0.00
Khunti,7,437.69,0,0.00,0,0.00,7,437.69
Koderma,9,93.75,1,28.53,0,0.00,10,122.28
Latehar,0,0.00,0,0.00,0,0.00,0,0.00
Lohardaga,23,363.97,0,0.00,0,0.00,23,363.97
Pakur,5,153.77,1,21.48,0,0.00,6,175.25
Palamu,8,124.33,0,0.00,0,0.00,8,124.33
Ramgarh,42,1375.34,0,0.00,0,0.00,42,1375.34
Ranchi,1838,122006.87,49,2501.62,18,4572.56,1861,119653.35
Sahibganj,5,102.67,0,0.00,0,0.00,5,102.67
Seraikela-Kharsawan,116,2938.84,0,0.00,0,0.00,119,3082.89
Simdega,2,35.81,0,0.00,0,0.00,2,35.81
West Singhbhum,87,1437.74,2,59.14,0,0.00,89,1000.50
