district,outstanding_as_of_last_fy_2023_24_september_qtr_no,amt,total_disbursment_during_this_current_afy_no,amt,outstanding_at_the_end_of_reporting_quarter_no,amt,npa_at_the_end_of_reporting_quarter_no,amt,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_no",kcc_card_activated_no,col_12
Bokaro,53982,31739,21139,6132,52803,32488,16962,7328,28732,13986,
Chatra,55553,29832,20958,5446,54855,31042,19689,9892,25735,14713,
Deoghar,87426,45199,26566,11513,88791,50817,19972,7806,46541,35818,
Dhanbad,44384,26292,14030,6754,44890,29064,17683,7440,22045,9376,
Dumka,68384,30798,18596,5637,67266,30854,15704,5287,39697,28100,
East Singhbhum,78175,44294,35193,11979,85250,49880,21548,8651,43429,25410,
Garhwa,59219,48686,12095,10734,58695,53287,10213,5809,41357,31530,
Giridih,84017,43678,33958,8062,84088,46650,27871,12418,39271,19236,
Godda,59164,35679,20687,8376,61584,38229,14696,7440,38337,23484,
Gumla,53806,25927,11929,3427,53341,27685,24297,9891,22577,13640,
Hazaribagh,77561,49805,26566,10791,77834,53043,27452,17120,37918,15418,
Jamtara,48953,26323,17072,6111,50238,29515,9082,3164,29481,20794,
Khunti,27018,13310,11501,2945,27954,15356,8386,3594,13822,5637,
Koderma,30884,17014,11630,2134,29950,17697,13497,7206,11917,5013,
Latehar,31097,21814,10511,4927,31420,23883,5288,2448,19229,13696,
Lohardaga,33554,18178,10348,3702,33516,20332,15084,7294,13786,8143,
Pakur,29627,19972,10631,4061,29967,17685,9122,4240,13006,9211,
Palamu,84587,64787,16928,14842,83605,69587,18018,10509,61754,45167,
Ramgarh,26774,16320,11684,2539,26778,18146,7630,3449,11501,5520,
Ranchi,94149,60811,34512,14563,158622,82136,28343,14281,40813,23340,
Sahibganj,40186,28079,14007,4389,41384,28894,10616,6407,20055,12711,
Seraikela-Kharsawan,57367,32021,22250,5859,62925,36046,16887,8199,33224,20299,
Simdega,22503,9678,8101,1489,22485,10671,8377,3518,9530,5421,
West Singhbhum,70586,42967,20729,5306,71360,47077,19802,9356,40123,25052,
