district,as_on_30th_september_2024_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,79178,62422.67,11944,10940.67,4275,9088.79,8914,15757.49,2179,1.26,362,30.30,37849,13349.88,6562,8209.89,122181,94721.83,10.31,
Chatra,74233,53723.03,13164,9759.87,3798,7435.07,5735,5163.74,183,0.53,12,0.85,16415,5545.22,1321,3162.25,83750,60165.41,39.76,
Deoghar,109298,67098.04,22259,16707.29,5859,9684.01,16160,13819.83,646,4.42,45,23.68,29397,10195.08,4183,4044.96,133832,82970.19,19.66,
Dhanbad,92228,60579.93,19296,14062.59,3118,6387.50,25078,31051.31,3859,1.77,405,37.99,61998,26601.62,12477,12268.93,171120,121559.84,7.70,
Dumka,91793,52830.71,26581,21059.96,7174,12797.34,12246,10129.22,837,0.52,33,3.00,44595,14656.76,3025,5243.18,114076,66081.04,29.66,
East Singhbhum,115941,89370.68,34427,26787.25,5797,13702.21,17457,42243.80,1639,6.90,680,71.40,71106,30811.37,6908,12512.44,191238,169172.82,6.94,
Garhwa,95837,74173.33,34285,26522.36,9973,17496.47,14149,11181.94,202,0.20,58,4.22,39278,13635.90,1387,2275.40,113715,85303.39,48.88,
Giridih,146069,95711.03,25627,15229.86,6947,14709.81,19697,16159.71,725,1.56,108,13.01,70012,23510.00,3694,5390.08,192180,122413.86,25.41,
Godda,85806,57914.99,22398,18273.29,4802,9379.21,13042,10849.21,734,0.44,46,4.31,37761,14265.77,4486,8544.15,106285,72718.02,35.25,
Gumla,63257,44487.99,12076,10647.99,3394,8141.13,6774,5958.16,170,2.22,59,5.12,6986,2466.54,963,1058.54,70987,51360.11,37.55,
Hazaribagh,126221,97478.19,21992,17583.77,7279,15765.78,16081,21450.80,1427,0.91,93,32.80,41016,18060.03,5281,8466.96,161624,132812.35,20.63,
Jamtara,55417,36834.19,14970,10730.62,2832,4370.91,9231,6090.57,526,0.11,41,5.11,9466,3427.98,2010,3155.30,61135,41146.54,41.06,
Khunti,40661,26370.52,14574,9205.41,1998,4957.89,2167,2534.82,728,1.04,9,4.30,13810,4219.50,5765,3200.79,47417,32318.24,30.60,
Koderma,54090,40228.55,8092,5168.46,1454,3409.29,6096,5470.21,178,0.76,21,15.85,17941,6135.85,1852,3493.43,69513,49782.07,24.48,
Latehar,38513,35490.87,13546,13144.16,4735,10797.13,6420,5695.02,245,3.03,18,2.12,9637,3367.57,1387,3946.80,46908,43691.11,36.29,
Lohardaga,40039,31863.04,7090,6199.01,1642,3887.31,5003,4738.07,253,0.02,53,13.60,8110,2692.39,616,554.98,49113,39295.94,37.57,
Pakur,48299,37998.97,16151,13663.16,3133,5738.60,12151,14711.16,241,0.16,8,4.55,39457,13621.27,4299,9488.06,76247,55951.01,39.20,
Palamu,145067,113032.18,51300,41610.68,12174,20521.58,19472,16407.57,169,0.69,52,4.50,61669,23049.68,3540,8432.09,175340,129371.98,36.65,
Ramgarh,48626,33707.77,13438,8963.22,2686,6077.66,5610,7828.87,1712,3.49,147,46.44,31361,11505.65,4300,3212.69,72137,55121.83,13.59,
Ranchi,1037821,349153.57,396952,136877.03,12036,30710.99,335636,126817.76,9186,14.72,600,81.76,76116,35817.13,10509,20400.69,1174099,453908.09,10.34,
Sahibganj,60995,46487.85,23180,19227.57,5812,10141.75,11349,12981.14,600,0.42,28,1.66,37882,15731.54,3220,5868.52,85108,62622.73,41.23,
Seraikela-Kharsawan,156468,72010.44,55274,21789.84,4037,10208.92,21916,9173.02,2485,0.85,282,26.12,19331,10545.89,800,1502.81,184047,87749.94,18.81,
Simdega,29550,22252.02,7825,6127.58,2879,5772.11,4145,3639.65,842,0.06,37,2.92,5748,2004.01,496,539.50,35615,27148.66,40.22,
West Singhbhum,83765,60846.60,28797,26567.28,7839,22770.38,10120,12525.42,5501,4.88,442,34.79,22276,8463.27,668,2074.89,106596,89756.66,19.47,
