district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,95,328,32,114.35,34.91,9619,24861,4308,10141.79,40.79,84798,92403,36928,31220.90,33.79
Chatra,156,121,142,77.94,64.31,7234,12845,3719,5591.08,43.53,71489,58963,31995,19358.76,32.83
Deoghar,89,1438,19,340.55,23.69,2347,32756,487,7336.16,22.40,135525,128127,38909,31736.50,24.77
Dhanbad,230,765,45,419.41,54.84,7667,32484,3888,14606.37,44.96,88699,113147,33003,37960.36,33.55
Dumka,141,138,18,18.60,13.50,1372,4629,242,2573.63,55.60,103960,71113,32225,23201.88,32.63
East Singhbhum,89,651,27,378.07,58.08,13278,43222,6726,20788.87,48.10,131264,151362,55441,53895.91,35.61
Garhwa,114,84,109,48.35,57.88,737,1635,227,589.43,36.04,111339,108542,23330,24093.69,22.20
Giridih,202,229,37,24.64,10.74,9643,36048,4470,12217.08,33.89,126792,125031,58572,39021.28,31.21
Godda,18,23,13,13.91,60.08,2275,5589,591,857.61,15.34,94101,77442,31207,20146.10,26.01
Gumla,25,42,3,1.60,3.77,4393,11558,2369,5446.87,47.13,49036,50395,17131,13225.18,26.24
Hazaribagh,145,280,23,67.33,24.07,9040,34415,4374,14750.24,42.86,120328,131223,47884,46191.49,35.20
Jamtara,28,25,2,2.05,8.23,2316,4078,593,1095.13,26.85,65927,50148,22147,12386.54,24.70
Khunti,17,33,3,2.52,7.53,2391,5496,1183,2287.08,41.62,37848,29424,15853,9274.96,31.52
Koderma,15,27,23,34.70,129.59,6461,17337,2812,7198.34,41.52,47532,47218,22111,16491.58,34.93
Latehar,387,153,121,54.70,35.84,1682,3207,305,504.99,15.75,46161,43810,15891,12436.31,28.39
Lohardaga,44,44,118,58.20,131.35,3611,11199,1987,5281.00,47.16,31460,35768,14428,11399.95,31.87
Pakur,356,304,146,92.89,30.60,3255,4016,1107,1325.85,33.02,47991,39358,19950,13167.49,33.46
Palamu,1484,838,308,152.60,18.21,3109,5877,539,1340.67,22.81,165527,156099,32217,32727.02,20.97
Ramgarh,48,121,16,51.09,42.38,5223,12325,2755,5135.42,41.67,51723,45084,22755,16024.55,35.54
Ranchi,364,3998,179,642.29,16.07,9976,113952,4755,66991.41,58.79,796578,518358,286610,204198.19,39.39
Sahibganj,45,158,33,19.60,12.39,1933,3089,830,800.24,25.91,71043,64227,22718,15521.58,24.17
Seraikela-Kharsawan,35,139,5,9.38,6.76,5235,14404,2845,7276.17,50.52,128770,86141,52519,28829.43,33.47
Simdega,9,21,,,0.00,3086,6222,1897,2976.64,47.84,25949,24233,12253,7804.42,32.21
West Singhbhum,31,41,5,4.35,10.61,4535,8757,2122,4497.70,51.36,80175,62384,29020,19544.93,31.33
