district,pmjjby_fi_plan_portal_data_no_of_enrollments,no_of_eligible_cases,pmsby_no_of_enrollments,no_of_eligible_cases,apy_enrollments_protean_portal_data_target_for_fy_2024_25,total_subscriber_from_01042024_to_30092024,total_subscribers_since_inception
Bokaro,312988,1553832,732375,1999213,17990,9540,105793
Chatra,230542,756212,411730,915160,5020,9141,69259
Deoghar,328756,1273062,717411,1609958,11120,12081,136010
Dhanbad,381157,2075328,892538,2673729,22585,9067,121864
Dumka,317407,1104686,681801,1422802,9705,9700,98926
Garhwa,206804,1055858,420695,1278317,6880,8617,65989
Giridih,414725,1704845,794142,2102551,13750,18813,146964
Godda,280623,1067982,648381,1397408,8800,11345,110917
Gumla,187258,643286,390921,835526,5690,7784,68534
Hazaribagh,375656,1572566,778998,1952060,14700,12367,124287
Jamtara,160491,603082,341540,769753,5605,5920,61217
Khunti,79439,318298,166845,395435,3230,3770,33343
Koderma,130280,578930,289168,719295,5080,4797,42994
Latehar,149445,623797,306358,761981,3695,6110,51262
Lohardaga,90352,353319,193332,439417,3765,4094,35503
Pakur,191278,630534,425422,792050,4820,11432,95988
Palamu,353289,1688495,736108,2058797,10915,13420,102090
Ramgarh,160819,781284,392565,977634,8435,3762,46966
Ranchi,570925,3130242,1256785,3865793,38895,17969,229935
Sahibganj,257283,890591,526339,1132477,6575,10630,100229
Seraikela-Kharsawan,152101,705127,348289,893263,8965,5159,60869
Simdega,110633,346110,230525,456570,3675,3593,31833
West Singhbhum,264419,1002862,514159,1263012,11620,9348,88291
