district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,22,20,2.00,7,34.33,283,265,1,1.15,0.43,27585,15549,6232.00,3790,141227,425008,55300.00,212326,49.96
Chatra,,,,,,141,159,,,0.00,4488,2479,1043.00,651,81191,91684,35755.00,36092,39.37
Deoghar,75,154,2.00,14,9.07,235,236,,,0.00,20623,10344,6338.00,3485,174634,300478,52862.00,132971,44.25
Dhanbad,86,443,4.00,18,3.96,307,269,1,1.16,0.43,52343,29591,14844.00,8904,192663,690933,67493.00,358866,51.94
Dumka,54,22,1.00,1,3.25,191,193,,,0.00,16186,8108,5849.00,3173,130343,159838,42009.00,61146,38.26
East Singhbhum,99,546,2.00,0,0.03,280,274,,,0.00,56078,30852,14684.00,8328,237387,1103967,91984.00,616272,55.82
Garhwa,172,82,2.00,0,0.17,218,246,,,0.00,11115,5967,3141.00,2011,128757,145568,28757.00,41127,28.25
Giridih,11,7,9.00,6,80.74,293,294,1,1.75,0.60,31159,17547,7951.00,4676,183787,305119,77375.00,133753,43.84
Godda,11,8,,,0.00,169,170,,,0.00,8345,5071,3535.00,2090,112970,131925,38911.00,47332,35.88
Gumla,22,4,1.00,0,3.48,160,188,,,0.00,6105,3193,1550.00,665,59711,84105,20624.00,30932,36.78
Hazaribagh,292,355,2.00,2,0.61,275,281,,,0.00,19083,11746,4793.00,3031,162263,323744,63362.00,149652,46.23
Jamtara,,,,,,108,114,,,0.00,3673,1453,1207.00,515,74805,69975,25412.00,22564,32.25
Khunti,11,16,1.00,0,0.56,106,108,,,0.00,4705,2255,961.00,414,46158,52171,18382.00,20629,39.54
Koderma,11,4,,,0.00,113,115,,,0.00,9635,5525,1949.00,1196,69464,119992,29350.00,55695,46.42
Latehar,,,1.00,0,,128,136,,,0.00,6391,2954,881.00,470,57932,68845,19888.00,26584,38.61
Lohardaga,,,,,,102,108,,,0.00,7254,3813,1808.00,1017,42807,65632,18153.00,27087,41.27
Pakur,97,50,7.00,2,4.01,111,115,,,0.00,23916,12754,8215.00,4348,82528,91227,32570.00,41758,45.77
Palamu,22,234,,,0.00,239,271,1,1.74,0.64,22576,14617,5221.00,3622,199270,244880,41802.00,75455,30.81
Ramgarh,43,356,3.00,19,5.43,191,181,1,6.00,3.31,14232,8555,3550.00,2015,77965,177980,32235.00,87098,48.94
Ranchi,17667,2683,122.00,52,1.93,527,491,1,0.09,0.02,47851,38157,10695.00,11863,963234,1774002,335062.00,898952,50.67
Sahibganj,,,,,,154,166,,,0.00,17181,10244,5196.00,3075,97843,101149,31488.00,31072,30.72
Seraikela-Kharsawan,11,5,,,0.00,193,196,,,0.00,11149,8313,3151.00,2954,162294,295275,62848.00,158656,53.73
Simdega,11,3,,,0.00,119,138,,,0.00,4216,1855,1205.00,523,33182,40955,14782.00,16954,41.40
West Singhbhum,22,9,,,0.00,266,290,,,0.00,17667,9057,4091.00,2153,108818,135548,37681.00,55159,40.69
