district,notices_issued_u_s_13_2_of_sarfaesi_act_no_of_a_cs,amount_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_no_of_a_cs,amount_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_no_of_a_cs,out_of_that_physical_possession_taken_no_of_a_cs,no_of_cases_pending_no_of_a_cs
Bokaro,926,8374.76,64,2677.76,37,4,39
Chatra,3,18.53,2,10.54,0,0,0
Deoghar,10,936.41,7,781.04,7,0,7
Dhanbad,209,8704.06,118,4361.49,77,8,63
Dumka,2,85.15,2,85.15,1,0,1
East Singhbhum,359,59787.20,224,95952.24,132,69,88
Garhwa,11,505.56,10,491.54,7,0,6
Giridih,733,2068.24,24,335.06,13,3,12
Godda,2,25.74,2,25.74,2,0,2
Gumla,10,114.04,9,111.31,2,0,2
Hazaribagh,50,754.28,34,508.50,23,2,24
Jamtara,2,16.00,1,2.00,0,0,1
Khunti,2,16.32,1,12.00,1,0,0
Koderma,8,127.61,8,127.61,5,1,4
Latehar,9,59.69,5,32.20,1,0,0
Lohardaga,27,328.60,10,158.98,47,0,2
Pakur,5,24.13,3,11.78,0,0,2
Palamu,13,532.22,7,98.08,1,1,1
Ramgarh,36,2357.33,23,1988.73,16,1,18
Ranchi,351,40219.56,268,36083.70,107,12,109
Sahibganj,5,21.86,5,21.86,0,0,0
Simdega,8,41.26,3,41.26,1,0,1
West Singhbhum,16,342.85,8,151.65,6,1,5
