district,sponsering_bank,target_fy_2024_25_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2024_25_up_to_the_end_of_sep_2024_number_o,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,45,1130,18,40.00,560,49.56,
Chatra,BANK OF INDIA,45,1120,16,35.56,510,45.54,
Deoghar,STATE BANK OF INDIA,46,1150,18,39.13,566,49.22,
Dhanbad,BANK OF INDIA,45,1130,19,42.22,475,42.04,
Dumka,INDIAN BANK,45,1120,21,46.67,625,55.80,
Garhwa,STATE BANK OF INDIA,42,1120,17,40.48,534,47.68,
Giridih,BANK OF INDIA,44,1150,16,36.36,446,38.78,
Godda,INDIAN BANK,42,1050,14,33.33,426,40.57,
Gumla,BANK OF INDIA,46,1150,15,32.61,406,35.30,
Hazaribagh,INDIAN BANK,45,1120,16,35.56,474,42.32,
Jamtara,STATE BANK OF INDIA,42,1050,16,38.10,464,44.19,
Khunti,BANK OF INDIA,46,1150,12,26.09,325,28.26,
Koderma,BANK OF INDIA,44,1100,21,47.73,607,55.18,
Latehar,STATE BANK OF INDIA,42,1050,18,42.86,534,50.86,
Lohardaga,BANK OF INDIA,46,1150,21,45.65,610,53.04,
Pakur,STATE BANK OF INDIA,42,1050,17,40.48,484,46.10,
Palamu,STATE BANK OF INDIA,45,1120,20,44.44,579,51.70,
Ramgarh,BANK OF INDIA,35,880,14,40.00,455,51.70,
Ranchi,RUDSETICANARA BANK,40,1150,15,37.50,418,36.35,
Sahibganj,STATE BANK OF INDIA,42,1050,19,45.24,495,47.14,
Simdega,BANK OF INDIA,46,1150,17,36.96,455,39.57,
